Ordem,UF,Municipio ,Cidade,Admin,Escola,N_alunos,N_participantes,P_Participantes,NSE,NSE,Nivel_Docente,Media_30melhores,Media
1592,SP,SERTAOZINHO,interior,Privada,TECNO SERT COLEGIO,86,76,88.37,Alto,Alto ou Muito Alto,61,585.29,522.15
1593,SP,SAO PAULO,capital,Privada,ISAAC NEWTON ESCOLA,29,15,51.72,Alto,Alto ou Muito Alto,50,NaN,522.14
1594,SP,SAO PAULO,capital,Privada,VITORIANO COLEGIO,26,21,80.77,Alto,Alto ou Muito Alto,75,NaN,522.13
1595,SP,SAO PAULO,capital,Estadual,UIRAPURU ESCOLA TECNICA ESTADUAL,78,62,79.49,M‚dio Alto,M‚dio ou M‚dio Alto,51.2,568.48,522.1
1596,SP,COTIA,interior,Privada,SESI 432 CENTRO EDUCACIONAL,59,53,89.83,Alto,Alto ou Muito Alto,73.1,567.25,522.06
1597,SP,SAO PAULO,capital,Privada,SENA DE MIRANDA COLEGIO UNIDADE II,33,22,66.67,Alto,Alto ou Muito Alto,61.5,NaN,522.05
1598,SP,ITUVERAVA,interior,Privada,FRANCISCO DE ASSIS ESCOLA DE EI E EF,25,21,84,M‚dio Alto,M‚dio ou M‚dio Alto,51.4,NaN,522.03
1599,SP,IBITINGA,interior,Estadual,ANGELO MARTINO PROF,79,61,77.22,M‚dio Alto,M‚dio ou M‚dio Alto,63.2,572.75,522.02
1600,SP,TABOAO DA SERRA,interior,Privada,TANCREDO NEVES ESCOLA,44,28,63.64,Alto,Alto ou Muito Alto,47.4,NaN,522.02
1601,SP,SAO PAULO,capital,Privada,MARCO ZERO COLEGIO,22,12,54.55,Muito Alto,Alto ou Muito Alto,75,NaN,521.97
1602,SP,POA,interior,Privada,AMERICO FRANCO INSTITUTO EDUCACIONAL,25,23,92,Alto,Alto ou Muito Alto,78.9,NaN,521.87
1603,SP,SAO PAULO,capital,Privada,SAO PAULO EXTERNATO,17,12,70.59,Alto,Alto ou Muito Alto,50,NaN,521.6
1604,SP,TATUI,interior,Privada,ADVENTISTA DE TATUI COLEGIO,28,26,92.86,M‚dio Alto,M‚dio ou M‚dio Alto,67.5,NaN,521.57
1605,SP,JOSE BONIFACIO,interior,Privada,JOSE BONIFACIO CENTRO ALTERNATIVO DE EDUCACAO,31,29,93.55,Alto,Alto ou Muito Alto,70.6,NaN,521.47
1606,SP,PIRAJU,interior,Estadual,ATALIBA LEONEL,40,22,55,M‚dio Alto,M‚dio ou M‚dio Alto,47.2,NaN,521.47
1607,SP,INDAIATUBA,interior,Privada,PROJECAO COLEGIO,16,11,68.75,Alto,Alto ou Muito Alto,80,NaN,521.44
1608,SP,SAO PAULO,capital,Estadual,GODOFREDO FURTADO,108,56,51.85,M‚dio Alto,M‚dio ou M‚dio Alto,63,560.13,521.43
1609,SP,BAURU,interior,Privada,GUEDES DE AZEVEDO ESCOLA DE ENSINO MEDIO,31,21,67.74,Muito Alto,Alto ou Muito Alto,42.9,NaN,521.42
1610,SP,SUZANO,interior,Privada,SESI 081 CENTRO EDUCACIONAL,30,27,90,Alto,Alto ou Muito Alto,46.2,NaN,521.38
1611,SP,FRANCO DA ROCHA,interior,Privada,ABSOLUTO COLEGIO,22,22,100,Alto,Alto ou Muito Alto,58.3,NaN,521.34
1612,SP,ARACATUBA,interior,Privada,DEGRAU POSITIVO COLEGIO,20,14,70,Alto,Alto ou Muito Alto,58.5,NaN,521.34
1613,SP,MARILIA,interior,Privada,COMPACTO DE MARILIA COLEGIO,166,116,69.88,Alto,Alto ou Muito Alto,71,599.85,521.33
1614,SP,SAO PAULO,capital,Privada,NOSSA SENHORA DE FATIMA COLEGIO,75,43,57.33,Alto,Alto ou Muito Alto,59.5,563.51,521.31
1615,SP,SAO BERNARDO DO CAMPO,interior,Estadual,PEDRA DE CARVALHO PROFESSORA,80,41,51.25,M‚dio Alto,M‚dio ou M‚dio Alto,46.9,550.27,521.31
1616,SP,SAO PAULO,capital,Privada,ADVENTISTA DE VILA NOVA CACHOEIRINHA COLEGIO,50,29,58,Alto,Alto ou Muito Alto,48.5,NaN,521.21
1617,SP,MAUA,interior,Privada,SESI 079 CENTRO EDUCACIONAL,57,54,94.74,Alto,Alto ou Muito Alto,65.3,573.68,521.19
1618,SP,SAO PAULO,capital,Estadual,COSTA MANSO MINISTRO,127,86,67.72,M‚dio Alto,M‚dio ou M‚dio Alto,63.3,590.25,521.19
1619,SP,COTIA,interior,Privada,ADVENTISTA DE COTIA COLEGIO,41,35,85.37,Alto,Alto ou Muito Alto,50,543.93,520.98
1620,SP,BAURU,interior,Privada,ADVENTISTA DE BAURU COLEGIO EIFM,20,17,85,M‚dio Alto,M‚dio ou M‚dio Alto,52.5,NaN,520.93
1621,SP,CAIEIRAS,interior,Privada,LUIZ BIMBATTI PICCORRUXO COLEGIO,65,43,66.15,Alto,Alto ou Muito Alto,45.1,550.75,520.92
1622,SP,SAO PAULO,capital,Privada,CONQUISTA COLEGIO,18,16,88.89,Alto,Alto ou Muito Alto,91.4,NaN,520.88
1623,SP,GUARULHOS,interior,Privada,PROGRESSO COLEGIO,57,33,57.89,Alto,Alto ou Muito Alto,67.1,533.87,520.83
1624,SP,SAO PAULO,capital,Privada,SUN PORT - PORTO DO SOL COLEGIO,15,10,66.67,Muito Alto,Alto ou Muito Alto,53.3,NaN,520.75
1625,SP,SAO PAULO,capital,Privada,SAO DOMINGOS SAVIO COLEGIO,15,11,73.33,Alto,Alto ou Muito Alto,61.5,NaN,520.64
1626,SP,SAO JOAO DA BOA VISTA,interior,Privada,SESI 156 CENTRO EDUCACIONAL,20,18,90,Alto,Alto ou Muito Alto,61.5,NaN,520.62
1627,SP,PRESIDENTE PRUDENTE,interior,Privada,SESI 423 CENTRO EDUCACIONAL,23,19,82.61,Alto,Alto ou Muito Alto,80.8,NaN,520.58
1628,SP,SAO PAULO,capital,Privada,DECISAO COLEGIO,29,25,86.21,Alto,Alto ou Muito Alto,57.5,NaN,520.54
1629,SP,SAO PAULO,capital,Privada,RICARDO RODRIGUES ALVES COLEGIO,27,18,66.67,Alto,Alto ou Muito Alto,53.8,NaN,520.46
1630,SP,SAO JOSE DO RIO PRETO,interior,Estadual,AURELIANO MENDONCA PROFESSOR,66,34,51.52,M‚dio Alto,M‚dio ou M‚dio Alto,53.8,539.72,520.44
1631,SP,TABOAO DA SERRA,interior,Estadual,LUCIA DE CASTRO BUENO PROFESSORA,103,71,68.93,M‚dio Alto,M‚dio ou M‚dio Alto,54.3,584.28,520.44
1632,SP,JUNDIAI,interior,Estadual,GABRIEL PAULINO BUENO COUTO BISPO DOM,141,88,62.41,Alto,Alto ou Muito Alto,61.1,576.73,520.34
1633,SP,MIRASSOL,interior,Privada,MARIA LUCIE SICARD NEVES EM,20,15,75,Alto,Alto ou Muito Alto,41.7,NaN,520.27
1634,SP,SAO PAULO,capital,Privada,SANTA CLARA COLEGIO,13,13,100,Alto,Alto ou Muito Alto,41.7,NaN,520.2
1635,SP,BARRETOS,interior,Estadual,RAPHAEL BRANDAO CEL ETE,200,180,90,M‚dio Alto,M‚dio ou M‚dio Alto,64.7,608.57,520.19
1636,SP,MOGI DAS CRUZES,interior,Privada,SESI 365 CENTRO EDUCACIONAL,30,28,93.33,Alto,Alto ou Muito Alto,76.9,NaN,520.1
1637,SP,PRESIDENTE EPITACIO,interior,Privada,SESI 268 CENTRO EDUCACIONAL,27,24,88.89,M‚dio Alto,M‚dio ou M‚dio Alto,71.2,NaN,520.08
1638,SP,REGISTRO,interior,Privada,ADVENTISTA DE REGISTRO COLEGIO,40,31,77.5,Alto,Alto ou Muito Alto,62,524.76,519.98
1639,SP,SAO JOSE DOS CAMPOS,interior,Privada,INOVANDO O APRENDIZADO INSTITUTO DE DESENVOLVIME EDUC IDEIA,133,84,63.16,Alto,Alto ou Muito Alto,41.6,571.99,519.98
1640,SP,SAO PAULO,capital,Privada,HEITOR VILLA LOBOS COLEGIO,27,16,59.26,Alto,Alto ou Muito Alto,45.2,NaN,519.96
1641,SP,LORENA,interior,Privada,SESI 162 CENTRO EDUCACIONAL,22,19,86.36,Alto,Alto ou Muito Alto,61.5,NaN,519.93
1642,SP,DIADEMA,interior,Privada,SESI 376 CENTRO EDUCACIONAL,26,20,76.92,Alto,Alto ou Muito Alto,44.2,NaN,519.9
1643,SP,SAO PAULO,capital,Privada,CARLOS DRUMOND DE ANDRADE COLEGIO,24,19,79.17,Alto,Alto ou Muito Alto,50.9,NaN,519.85
1644,SP,ITU,interior,Estadual,PERY GUARANY BLACKMAN PROF,100,70,70,Alto,Alto ou Muito Alto,52,571.58,519.81
1645,SP,SANTOS,interior,Privada,SANTISTA COLEGIO ATENEU,30,21,70,Alto,Alto ou Muito Alto,48.4,NaN,519.8
1646,SP,MOGI DAS CRUZES,interior,Privada,JOANA D ARC COLEGIO,31,18,58.06,Alto,Alto ou Muito Alto,59.4,NaN,519.79
1647,SP,SAO PAULO,capital,Privada,TERRA COLEGIO,18,10,55.56,Muito Alto,Alto ou Muito Alto,81.8,NaN,519.75
1648,SP,SAO PAULO,capital,Privada,CAETANO ALVARES COLEGIO,22,17,77.27,Alto,Alto ou Muito Alto,46.9,NaN,519.75
1649,SP,HORTOLANDIA,interior,Privada,ADVENTISTA DE HORTOLANDIA COLEGIO,26,18,69.23,Alto,Alto ou Muito Alto,59,NaN,519.72
1650,SP,SAO PAULO,capital,Privada,HORIZONTES UIRAPURU COLEGIO,17,13,76.47,Muito Alto,Alto ou Muito Alto,84.2,NaN,519.68
1651,SP,OSASCO,interior,Privada,HAYA INSTITUTO EDUCACIONAL,28,19,67.86,Alto,Alto ou Muito Alto,50,NaN,519.66
1652,SP,SAO PAULO,capital,Privada,MONFORTE COLEGIO,40,35,87.5,Alto,Alto ou Muito Alto,65.7,540.86,519.65
1653,SP,SUZANO,interior,Estadual,LUIZA HIDAKA PROFESSORA,264,178,67.42,M‚dio Alto,M‚dio ou M‚dio Alto,50,605.04,519.61
1654,SP,SAO PAULO,capital,Privada,SANTA BARBARA COLEGIO,55,28,50.91,Alto,Alto ou Muito Alto,47.9,NaN,519.6
1655,SP,JACAREI,interior,Privada,COLEGIO ADVENTISTA DE JACAREI,25,20,80,M‚dio Alto,M‚dio ou M‚dio Alto,64,NaN,519.59
1656,SP,BIRIGUI,interior,Estadual,RENATO CORDEIRO DOUTOR ETEC,62,51,82.26,M‚dio Alto,M‚dio ou M‚dio Alto,60.9,564.18,519.59
1657,SP,SAO BERNARDO DO CAMPO,interior,Privada,INTEGRADO AMERICANO COLEGIO,55,41,74.55,Muito Alto,Alto ou Muito Alto,47.7,550.34,519.52
1658,SP,SANTOS,interior,Privada,SANTA CECILIA COLEGIO,152,100,65.79,Alto,Alto ou Muito Alto,61,586.62,519.48
1659,SP,SAO PAULO,capital,Privada,PHOENIX COLEGIO,21,11,52.38,Alto,Alto ou Muito Alto,47.6,NaN,519.46
1660,SP,LENCOIS PAULISTA,interior,Privada,FRANCISCO GARRIDO LICEU,21,19,90.48,Alto,Alto ou Muito Alto,63.5,NaN,519.43
1661,SP,BAURU,interior,Privada,GERACAO COLEGIO,27,20,74.07,Alto,Alto ou Muito Alto,51.4,NaN,519.32
1662,SP,GUARUJA,interior,Privada,DOMINGOS DE MORAES ESCOLA DE EFMS E TECNICA,14,7,50,Alto,Alto ou Muito Alto,28.1,NaN,519.26
1663,SP,GUARAREMA,interior,Estadual,IVAN BRASIL,83,55,66.27,M‚dio Alto,M‚dio ou M‚dio Alto,41.9,566.64,519.2
1664,SP,SAO BERNARDO DO CAMPO,interior,Privada,SAO PAULO II INSTITUTO DE ENSINO,23,12,52.17,Alto,Alto ou Muito Alto,76.9,NaN,519.2
1665,SP,POTIRENDABA,interior,Privada,POTIRENDAVA SOCIEDADE ED SISTEMA OBJETIVO DE ENSINO,13,12,92.31,Alto,Alto ou Muito Alto,51.4,NaN,519.17
1666,SP,SAO PAULO,capital,Estadual,MANUEL CIRIDIAO BUARQUE PROFESSOR,196,144,73.47,M‚dio Alto,M‚dio ou M‚dio Alto,66,596.34,519.16
1667,SP,CAMPINAS,interior,Privada,JAIME KRATZ INSTITUTO EDUCACIONAL,32,18,56.25,Muito Alto,Alto ou Muito Alto,35.1,NaN,519.09
1668,SP,INDAIATUBA,interior,Estadual,HELIO CERQUEIRA LEITE PROFESSOR,102,64,62.75,Alto,Alto ou Muito Alto,84.8,563.62,519.03
1669,SP,CAMPINAS,interior,Estadual,JOAO LOURENCO RODRIGUES PROFESSOR,125,108,86.4,Alto,Alto ou Muito Alto,66.9,587.75,519
1670,SP,HORTOLANDIA,interior,Privada,INOVACAO ESCOLA EDUCACAO INFANTIL FUNDAMENTAL E MEDIO,25,20,80,Alto,Alto ou Muito Alto,57.1,NaN,518.98
1671,SP,SANTA ISABEL,interior,Privada,ARTUR FERREIRA COLEGIO EF E PRE ESCOLA CONCHINHA,10,10,100,M‚dio Alto,M‚dio ou M‚dio Alto,58.3,NaN,518.98
1672,SP,TATUI,interior,Privada,XI DE AGOSTO COLEGIO,13,7,53.85,Alto,Alto ou Muito Alto,60.3,NaN,518.96
1673,SP,GUARULHOS,interior,Privada,GUARULHOS COLEGIO INTEGRADO,14,8,57.14,Alto,Alto ou Muito Alto,62.9,NaN,518.95
1674,SP,SAO PAULO,capital,Privada,SAO JOSE DOS PADRES DE SION COLEGIO,66,53,80.3,Alto,Alto ou Muito Alto,66.4,561.16,518.92
1675,SP,LIMEIRA,interior,Privada,SESI 408 CENTRO EDUCACIONAL,26,24,92.31,Alto,Alto ou Muito Alto,74.4,NaN,518.86
1676,SP,IBITINGA,interior,Estadual,IRACEMA DE OLIVEIRA CARLOS PROFA,13,8,61.54,M‚dio Alto,M‚dio ou M‚dio Alto,52,NaN,518.86
1677,SP,JACAREI,interior,Privada,SESI 160 CENTRO EDUCACIONAL,64,57,89.06,Alto,Alto ou Muito Alto,46.2,565.79,518.85
1678,SP,SAO PAULO,capital,Privada,CERTUS COLEGIO,77,46,59.74,Alto,Alto ou Muito Alto,42.3,565.19,518.84
1679,SP,INDAIATUBA,interior,Estadual,HELENA DE CAMPOS CAMARGO PROFESSORA,182,95,52.2,Alto,Alto ou Muito Alto,62.6,599.59,518.82
1680,SP,SAO PAULO,capital,Privada,NOVA ESTRELA GUIA ESCOLA UNIDADE I,32,27,84.38,Alto,Alto ou Muito Alto,61.8,NaN,518.82
1681,SP,OSASCO,interior,Privada,UNIVERSAL STAR COLEGIO,25,21,84,Alto,Alto ou Muito Alto,74.3,NaN,518.68
1682,SP,SAO JOSE DO RIO PRETO,interior,Privada,RESSURREICAO COLEGIO RIO PRETO,30,25,83.33,Alto,Alto ou Muito Alto,50,NaN,518.66
1683,SP,SAO PAULO,capital,Privada,VINICIUS DE MORAES COLEGIO,14,7,50,M‚dio Alto,M‚dio ou M‚dio Alto,63.2,NaN,518.64
1684,SP,PAULINIA,interior,Privada,MEU COLEGIO,17,15,88.24,Muito Alto,Alto ou Muito Alto,70.4,NaN,518.6
1685,SP,BIRIGUI,interior,Privada,SESI 148 CENTRO EDUCACIONAL,29,26,89.66,M‚dio Alto,M‚dio ou M‚dio Alto,61.5,NaN,518.38
1686,SP,LIMEIRA,interior,Estadual,ANTONIO PERCHES LORDELLO PROFESSOR,179,144,80.45,Alto,Alto ou Muito Alto,70.4,597.91,518.36
1687,SP,SAO PAULO,capital,Privada,ELVIRA LINARES COLEGIO,10,7,70,Alto,Alto ou Muito Alto,34.3,NaN,518.31
1688,SP,LIMEIRA,interior,Privada,GASPARZINHO EEI E COL SAO BENEDITO DE ENSINO FUND E MEDIO,21,15,71.43,Alto,Alto ou Muito Alto,60,NaN,518.31
1689,SP,AVARE,interior,Estadual,FAUSTO MAZZOLA PROF ETEC,70,63,90,M‚dio Alto,M‚dio ou M‚dio Alto,82.1,579.48,518.3
1690,SP,SAO PAULO,capital,Privada,MUNDO ATUAL COLEGIO,22,11,50,Alto,Alto ou Muito Alto,50,NaN,518.25
1691,SP,SANTOS,interior,Privada,ADVENTISTA DE SANTOS COLEGIO,63,43,68.25,Alto,Alto ou Muito Alto,56,557.91,518.24
1692,SP,SAO CAETANO DO SUL,interior,Privada,DI THIENE LICEU ESCOLA DE EDUCACAO BASICA,43,28,65.12,Muito Alto,Alto ou Muito Alto,78.5,NaN,518.22
1693,SP,SAO BERNARDO DO CAMPO,interior,Privada,ANCHIETA COLEGIO,232,166,71.55,Alto,Alto ou Muito Alto,61.3,591.95,518.22
1694,SP,SAO CAETANO DO SUL,interior,Privada,ADVENTISTA SAO CAETANO DO SUL COLEGIO,37,27,72.97,Muito Alto,Alto ou Muito Alto,46.9,NaN,518.19
1695,SP,SOROCABA,interior,Privada,TALENTOS COLEGIO,26,16,61.54,Alto,Alto ou Muito Alto,61.8,NaN,518.15
1696,SP,SAO PAULO,capital,Estadual,ALBERTO TORRES,40,22,55,M‚dio Alto,M‚dio ou M‚dio Alto,58.6,NaN,518.09
1697,SP,BARIRI,interior,Privada,SESI 143 CENTRO EDUCACIONAL,28,24,85.71,M‚dio Alto,M‚dio ou M‚dio Alto,69.2,NaN,518.08
1698,SP,SAO JOSE DO RIO PRETO,interior,Privada,SANTA EDVIGES COLEGIO INTEGRADO,15,8,53.33,M‚dio Alto,M‚dio ou M‚dio Alto,47.9,NaN,518.04
1699,SP,SAO JOAO DO PAU D ALHO,interior,Estadual,SALVADOR RAMOS DE MOURA PROF,26,13,50,M‚dio,M‚dio ou M‚dio Alto,49.2,NaN,518.02
1700,SP,ITATIBA,interior,Privada,SESI 013 CENTRO EDUCACIONAL,44,34,77.27,Alto,Alto ou Muito Alto,61.5,539.59,517.82
1701,SP,PIRACICABA,interior,Privada,TALES DE MILETO COLEGIO,22,18,81.82,Muito Alto,Alto ou Muito Alto,53.8,NaN,517.71
1702,SP,LORENA,interior,Privada,SANTA TERESA INSTITUTO,20,17,85,Alto,Alto ou Muito Alto,52.9,NaN,517.65
1703,SP,CARAPICUIBA,interior,Privada,NATALINO FIDENCIO PROF INSTITUTO DE EDUCACAO COLEGIO STATUS,43,31,72.09,Alto,Alto ou Muito Alto,71.4,522.51,517.64
1704,SP,SAO PAULO,capital,Privada,VIP COLEGIO JARDIM TREMEMBE,49,35,71.43,Alto,Alto ou Muito Alto,54.5,538.49,517.64
1705,SP,COTIA,interior,Privada,ESPACO VERDE ROUSSEAU COLEGIO,13,11,84.62,Alto,Alto ou Muito Alto,61.1,NaN,517.61
1706,SP,TEODORO SAMPAIO,interior,Estadual,NAIR LUCCAS RIBEIRO ETEC,40,32,80,M‚dio Alto,M‚dio ou M‚dio Alto,62.2,526.18,517.6
1707,SP,SAO JOSE DOS CAMPOS,interior,Estadual,JOSE MARIOTTO FERREIRA MAJOR AVIADOR,136,97,71.32,Alto,Alto ou Muito Alto,71,583.94,517.56
1708,SP,SAO PAULO,capital,Privada,NOVO TEMPO COLEGIO,18,12,66.67,Muito Alto,Alto ou Muito Alto,43.6,NaN,517.52
1709,SP,SAO PAULO,capital,Privada,NSL COLEGIO,67,36,53.73,M‚dio Alto,M‚dio ou M‚dio Alto,71.4,535.43,517.48
1710,SP,SAO PAULO,capital,Privada,VERUSKA COLEGIO,39,33,84.62,Alto,Alto ou Muito Alto,53.6,533.31,517.29
1711,SP,VARGEM GRANDE DO SUL,interior,Privada,D PEDRO II ESCOLA,39,26,66.67,M‚dio Alto,M‚dio ou M‚dio Alto,60.5,NaN,517.27
1712,SP,FERRAZ DE VASCONCELOS,interior,Privada,NUCLEO EDUCACIONAL FERRAZENSE,58,43,74.14,Alto,Alto ou Muito Alto,60.4,545.87,517
1713,SP,SAO PAULO,capital,Estadual,ARCY MAJOR,81,50,61.73,M‚dio Alto,M‚dio ou M‚dio Alto,65.2,555.68,516.98
1714,SP,GARCA,interior,Privada,ANTARES COLEGIO,27,25,92.59,Alto,Alto ou Muito Alto,53.3,NaN,516.95
1715,SP,SAO PAULO,capital,Estadual,CARAN APPARECIDO GONCALVES PROFESSOR,219,123,56.16,M‚dio Alto,M‚dio ou M‚dio Alto,50.7,595.37,516.92
1716,SP,CAMPINAS,interior,Estadual,FRANCISCO BARRETO LEME,27,16,59.26,M‚dio Alto,M‚dio ou M‚dio Alto,54.5,NaN,516.84
1717,SP,SAO SIMAO,interior,Privada,MIGUEL NAYME CENTRO EDUCACIONAL,15,14,93.33,Alto,Alto ou Muito Alto,65.7,NaN,516.81
1718,SP,RIBEIRAO PRETO,interior,Privada,CARLOS MAGNO COLEGIO,21,12,57.14,Alto,Alto ou Muito Alto,73.6,NaN,516.62
1719,SP,JACAREI,interior,Privada,ANTONIO AFONSO COLEGIO,31,20,64.52,Alto,Alto ou Muito Alto,50,NaN,516.59
1720,SP,FLOREAL,interior,Estadual,DECIO PRATA PREFEITO,23,16,69.57,M‚dio Alto,M‚dio ou M‚dio Alto,88.6,NaN,516.54
1721,SP,PALMITAL,interior,Privada,PALMITAL CENTRO EDUCACIONAL DE,17,15,88.24,Alto,Alto ou Muito Alto,45.5,NaN,516.53
1722,SP,ARUJA,interior,Privada,J R INSTITUTO EDUCACIONAL,24,17,70.83,Alto,Alto ou Muito Alto,57.4,NaN,516.35
1723,SP,SAO PAULO,capital,Privada,SANTA RITA DE CASSIA EDUCANDARIO,55,45,81.82,Alto,Alto ou Muito Alto,53.8,549.73,516.35
1724,SP,JUNDIAI,interior,Estadual,ELOY DE MIRANDA CHAVES DOUTOR,43,30,69.77,M‚dio Alto,M‚dio ou M‚dio Alto,47.6,516.23,516.23
1725,SP,GUARULHOS,interior,Privada,PALMYRA TAGLIARI EXTERNATO,13,10,76.92,Alto,Alto ou Muito Alto,52.9,NaN,516.15
1726,SP,CAMPINAS,interior,Estadual,OROSIMBO MAIA,70,42,60,M‚dio Alto,M‚dio ou M‚dio Alto,57.1,537.24,516.13
1727,SP,LINS,interior,Privada,HENRIQUE MOURAO DOM COLEGIO SALESIANO,21,19,90.48,Alto,Alto ou Muito Alto,82.4,NaN,516.07
1728,SP,NOVA ODESSA,interior,Privada,SESI 436 CENTRO EDUCACIONAL,47,41,87.23,Alto,Alto ou Muito Alto,76.9,545.96,516.04
1729,SP,SAO JOSE DOS CAMPOS,interior,Privada,FRANCISCANO NOSSA SENHORA APARECIDA COLEGIO,20,15,75,Alto,Alto ou Muito Alto,67.5,NaN,515.98
1730,SP,SERRANA,interior,Privada,CANTINHO ALEGRE ESCOLA ED INFANTIL E ENS FUNDAMENTAL E MEDIO,40,32,80,Alto,Alto ou Muito Alto,70.8,523.54,515.97
1731,SP,SAO PAULO,capital,Estadual,JOAQUIM LEME DO PRADO PROFESSOR,222,115,51.8,M‚dio Alto,M‚dio ou M‚dio Alto,53.5,582.42,515.95
1732,SP,SAO PAULO,capital,Privada,ALBERT EINSTEIN COLEGIO,41,32,78.05,Muito Alto,Alto ou Muito Alto,70.3,526.37,515.95
1733,SP,MIRANDOPOLIS,interior,Privada,SESI 323 CENTRO EDUCACIONAL,29,25,86.21,M‚dio Alto,M‚dio ou M‚dio Alto,53.8,NaN,515.81
1734,SP,SAO JOAO DA BOA VISTA,interior,Privada,TRIANGULO CENTRO EDUCACIONAL,25,19,76,Alto,Alto ou Muito Alto,46.2,NaN,515.76
1735,SP,GUARULHOS,interior,Privada,ADVENTISTA DE VILA GALVAO COLEGIO,48,32,66.67,Alto,Alto ou Muito Alto,31.7,522.49,515.65
1736,SP,TUPA,interior,Privada,ADVENTISTA DE TUPA COLEGIO,13,13,100,Alto,Alto ou Muito Alto,59.5,NaN,515.59
1737,SP,JOSE BONIFACIO,interior,Privada,SESI 381 CENTRO EDUCACIONAL,21,19,90.48,M‚dio Alto,M‚dio ou M‚dio Alto,69.2,NaN,515.56
1738,SP,SANTANA DE PARNAIBA,interior,Privada,CENTRO EDUCACIONAL SESI 433,52,43,82.69,M‚dio Alto,M‚dio ou M‚dio Alto,84.6,550.31,515.55
1739,SP,CASA BRANCA,interior,Privada,BARAO DE CASA BRANCA COLEGIO ENSINO FUNDAMENTAL E MEDIO,23,20,86.96,Alto,Alto ou Muito Alto,51.4,NaN,515.43
1740,SP,SAO PAULO,capital,Estadual,FERNAO DIAS PAES,346,236,68.21,M‚dio Alto,M‚dio ou M‚dio Alto,58.7,608.82,515.36
1741,SP,SAO PAULO,capital,Privada,SANTA CLARA DE ASSIS COLEGIO,15,14,93.33,M‚dio Alto,M‚dio ou M‚dio Alto,46.2,NaN,515.27
1742,SP,SAO PAULO,capital,Privada,MORALES LOPES COLEGIO,60,33,55,Alto,Alto ou Muito Alto,47.1,531.81,515.24
1743,SP,SAO PAULO,capital,Privada,PAULISTA COLEGIO,10,7,70,Alto,Alto ou Muito Alto,53.8,NaN,515.23
1744,SP,ITUVERAVA,interior,Estadual,JOSE IGNACIO AZEVEDO FILHO ETEC,80,74,92.5,M‚dio Alto,M‚dio ou M‚dio Alto,52.8,565.23,515.21
1745,SP,SAO PAULO,capital,Privada,SESI 329 CENTRO EDUCACIONAL,26,21,80.77,Alto,Alto ou Muito Alto,53.8,NaN,515.2
1746,SP,VALINHOS,interior,Estadual,ANTONIO ALVES ARANHA PROFESSOR,256,183,71.48,M‚dio Alto,M‚dio ou M‚dio Alto,55.3,593.99,515.08
1747,SP,SAO JOSE DOS CAMPOS,interior,Estadual,ESTEVAM FERRI PROFESSOR,465,285,61.29,M‚dio Alto,M‚dio ou M‚dio Alto,68.5,596.25,515.01
1748,SP,SANTO ANDRE,interior,Privada,MORIAH COLEGIO,71,52,73.24,Muito Alto,Alto ou Muito Alto,53.5,556.07,515
1749,SP,SAO BERNARDO DO CAMPO,interior,Estadual,CLARICE DE MAGALHAES CASTRO PROFESSORA,108,84,77.78,Alto,Alto ou Muito Alto,66.7,574.31,514.91
1750,SP,SAO PAULO,capital,Privada,FEREGUETTI COLEGIO,69,48,69.57,Muito Alto,Alto ou Muito Alto,60,563.39,514.66
1751,SP,SAO JOSE DOS CAMPOS,interior,Privada,ANTONIO TEIXEIRA FERNANDES COLEGIO TECNICO,185,141,76.22,Alto,Alto ou Muito Alto,64,593.2,514.64
1752,SP,GUARUJA,interior,Privada,OMEGA COLEGIO II,21,17,80.95,Alto,Alto ou Muito Alto,38.5,NaN,514.62
1753,SP,SAO BERNARDO DO CAMPO,interior,Estadual,LAUDO FERREIRA DE CAMARGO MINISTRO,54,46,85.19,Alto,Alto ou Muito Alto,67.4,544.46,514.58
1754,SP,TEODORO SAMPAIO,interior,Privada,NOVO MILLENIUN COLEGIO,28,24,85.71,Alto,Alto ou Muito Alto,61.5,NaN,514.56
1755,SP,CAMPINAS,interior,Privada,PROVECTO COLEGIO,13,10,76.92,Alto,Alto ou Muito Alto,56.8,NaN,514.53
1756,SP,ITAPECERICA DA SERRA,interior,Estadual,ASA BRANCA DA SERRA,133,87,65.41,M‚dio Alto,M‚dio ou M‚dio Alto,83.1,583.31,514.53
1757,SP,PIRACICABA,interior,Estadual,ELIAS DE MELLO AYRES PROFESSOR,184,129,70.11,Alto,Alto ou Muito Alto,96.1,598.91,514.48
1758,SP,BERTIOGA,interior,Privada,CAICARA COLEGIO,14,10,71.43,Alto,Alto ou Muito Alto,43.9,NaN,514.42
1759,SP,SAO PAULO,capital,Privada,PALMARINO CALABREZ COLEGIO,41,30,73.17,Alto,Alto ou Muito Alto,72.6,514.36,514.36
1760,SP,SAO PAULO,capital,Privada,MARIA IMACULADA COLEGIO DR PIERO ROVERSI,66,42,63.64,Alto,Alto ou Muito Alto,34.2,541.31,514.32
1761,SP,SAO MIGUEL ARCANJO,interior,Estadual,MARIA FRANCISCA DEOCLECIO ARRIVABENE PROFA,57,39,68.42,M‚dio,M‚dio ou M‚dio Alto,65.6,544.38,514.32
