"ID";"ANO";"ORGAO_ENTIDADE";"CNPJ_CPF_CONTRATADO";"CONTRATADO";"OBJETO";"DATA_CELEBRACAO";"DATA_INICIO_VIGENCIA";"DATA_FIM_VIGENCIA";"QUANTIDADE";"VALOR_UNITM-ARIO";"VALOR_TOTAL";"PROCESSO_COMPRA";"LOCAL_EXECUCAO";"MODALIDADE";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"26";"2020";"Secretaria Municipal de SaM-zde";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"Luvas para procedimentos tam. M - caixa com 100";"06/04/2020";"25/03/2020";"31/03/2020";"1.800";"R$ 32,00";"R$ 57.600,00";"04.000.396.20.90";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"27";"2020";"Secretaria Municipal de SaM-zde";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"Luvas para procedimentos tam. G - caixa com 100";"06/04/2020";"25/03/2020";"31/03/2020";"600";"R$ 32,00";"R$ 19.200,00";"04.000.396.20.90";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"28";"2020";"Secretaria Municipal de SeguranM-ga e PrevenM-gM-co";"33.462.561/0001-61";"HCE INVESTIMENTOS IMPORTACAO E EXPORTACAO LTDA";"AquisiM-gM-co de 10.000 (dez mil) unidades de mM-ascaras cirM-zrgicas, 3 camadas, para uso dos agentes da Guarda Civil Municipal de BH de forma preventiva contra o COVID 19, conforme orientado pela OMS.";"06/04/2020";"06/04/2020";"21/04/2020";"10.000";"R$ 3,00";"R$ 30.000,00";"01.029.865.20.29";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"29";"2020";"Hospital Metropolitano Odilon Behrens";"23.359.559/0001-08";"Abasantos Ditribuidora Ltda - Epp";"AquisiM-gM-co de Respiradores categoria PFF2 contra agentes biolM-sgicos";"07/04/2020";"07/04/2020";"07/04/2020";"10.000";"R$ 13,00";"R$ 130.000,00";"01.028.433.20.19";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"30";"2020";"Secretaria de Politica Urbana";"18.266.878/0001-39";"Comercial Nosso Lar Eirelli - EPP";"Luvas descartM-aveis - caixa com 100";"07/04/2020";"07/04/2020";"07/04/2020";"40";"R$ 135,00";"R$ 5.400,00";"01.032.053.20.51";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"31";"2020";"Hospital Metropolitano Odilon Behrens";"18.922.815/0001-93";"Provest - ProteM-gM-co e VestuM-ario Industria e ComM-ircio Ltda";"AquisiM-gM-co de Respiradores categoria PFF2 contra agentes biolM-sgicos";"07/04/2020";"07/04/2020";"07/04/2020";"1.500";"R$ 16,04";"R$ 24.060,00";"01.029.682.20.59";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"32";"2020";"Secretaria de PolM-mtica Urbana";"18.266.878/0001-39";"Comercial Nosso Lar Eirelli - EPP";"M-Alcool em Gel 70 - frasco com 250 ml";"08/04/2020";"08/04/2020";"08/04/2020";"720";"R$ 27,00";"R$ 19.440,00";"01.031.140.20.19";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"33";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"01.928.075/0001-08";"DMA Distribuidora S/A";"Fornecimento de cestas bM-asicas M-`s famM-mlias e indivM-mduos em situaM-gM-co de vulnerabilidade social.";"08/04/2020";"08/04/2020";"07/07/2020";"330.000";"R$ 71,88";"R$ 23.720.400,00";"01.030.616.20.21";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"34";"2020";"Hospital Metropolitano Odilon Behrens";"02.662.841/0001-90";"Mastermed Comercial Ltda - Epp";"AquisiM-gM-co de Respiradores categoria PFF2 contra agentes biolM-sgicos";"08/04/2020";"08/04/2020";"08/04/2020";"250";"R$ 4,50";"R$ 1.125,00";"01.029.107.20.00";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"35";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"04.641.376/0001-36";"Supermercados BH ComM-ircio de Alimentos S/A";"Fornecimento de cestas bM-asicas M-`s famM-mlias e indivM-mduos em situaM-gM-co de vulnerabilidade social.";"08/04/2020";"08/04/2020";"07/07/2020";"330.000";"R$ 71,88";"R$ 23.720.400,00";"01.030.616.20.21";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"36";"2020";"Secretaria Municipal de AssitM-jncia Social, SeguranM-ga Alimentar e Cidadania";"01.928.075/0001-08";"DMA Distribuidora S/A";"Fornecimento kits de higiene e limpeza M-`s famM-mlias em situaM-gM-co de vulnerabilidade social, agravada pela pandemia provocada pelo COVID-19, conforme cadastro consolidado pela Secretaria Municipal de PolM-mtica Urbana.";"09/04/2020";"09/04/2020";"08/06/2020";"114.760";"R$ 29,80";"R$ 3.419.848,00";"01.031.360.20.15";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"37";"2020";"Secretaria Municipal de SeguranM-ga e PrevenM-gM-co";"20.235.404/0001-71";"DCB DISTRIBUIDORA CIRM-ZRGICA BRASILEIRA LTDA.";"AquisiM-gM-co de 10.000 pares de luvas cirM-zrgicas";"13/04/2020";"13/04/2020";"18/04/2020";"10.000";"R$ 1,50";"R$ 15.000,00";"01.030.638.20.64";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"38";"2020";"Hospital Metropolitano Odilon Behrens";"11.071.683/0001-94";"PlM-asticos Independencia ltda";"M-Sculos de proteM-gM-co";"13/04/2020";"13/04/2020";"13/04/2020";"5.120";"R$ 3,03";"R$ 15.513,60";"01.028.790.20.96";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"39";"2020";"Hospital Metropolitano Odilon Behrens";"33.462.561/0001-61";"HCE - Investimentos ImportaM-gM-co e ExportaM-gM-co Ltda";"MM-ascaras CirM-zrgicas com 3 camadas";"14/04/2020";"14/04/2020";"14/04/2020";"600.000";"R$ 3,00";"R$ 1.800.000,00";"01.028.525.20.35";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"40";"2020";"Secretaria Municipal de SaM-zde";"04.654.861/0001-44";"Indalabor IndaiM-a LaboratM-srio Farma FarmacM-jutico";"M-Alcool em gel 70 - refil tipo bag-in-box capacidade 800 ml";"15/04/2020";"01/04/2020";"28/06/2020";"45.000";"R$ 9,70";"R$ 436.500,00";"04.000.411.20.82";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"41";"2020";"Secretaria Municipal de Esportes e Lazer";"05.205.727/0001-29";"Campar Ltda. EPP";"M-Alcool em gel 70 - Bombona com 5 litros";"16/04/2020";"16/04/2020";"16/04/2020";"40";"R$ 90,00";"R$ 3.600,00";"01.030.611.20.08";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"42";"2020";"Secretaria Municipal de Esportes e Lazer";"05.205.727/0001-29";"Campar Ltda. EPP";"Frasco em plM-astico para 500 gramas";"16/04/2020";"16/04/2020";"16/04/2020";"40";"R$ 2,00";"R$ 80,00";"01.030.611.20.08";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"43";"2020";"Secretaria Municipal de SaM-zde";"14.272.952/0001-79";"Vera LM-zcia F dos Santos - EPP";"MM-ascaras Cirurgica DescartM-avel";"16/04/2020";"16/04/2020";"21/04/2020";"10.000";"R$ 3,20";"R$ 32.000,00";"04.000.428.20.85";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"44";"2020";"Secretaria Municipal de Esportes e Lazer";"08.159.985/0001-04";"Copiadora Objetiva Ltda.";"PlastificaM-gM-co de 450 unidades de cartazes a serem fixados nas Academias da Cidade em virtude da Campanha Combate ao COVID-19";"22/04/2020";"22/04/2020";"22/04/2020";"450";"R$ 6,50";"R$ 2.925,00";"01.032.970.20.81";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"45";"2020";"Secretaria Municipal de SaM-zde";"02.937.303/0001-60";"Intensivemed ImportaM-gM-co E ComM-ircio Ltda. - EPP";"AquisiM-gM-co Filtro Auto Umidificador para abastecimento da rede SUS-BH";"22/04/2020";"08/04/2020";"07/05/2020";"1.800";"R$ 8,50";"R$ 15.300,00";"04.000.410.20.10";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"46";"2020";"Hospital Metropolitano Odilon Behrens";"02.662.841/0001-90";"Mastermed Comercial Ltda - Epp";"Materiais de assistM-jncia ventilatM-sria - INALAM-GM-CO VALVULADA NEONATO/PEDIM-ATRICO"
"CM-BMARA DE INALAM-GM-CO VALVULADA EM PLM-ASTICO DO TIPO RP 345 NATURAL ";"24/04/2020";"24/04/2020";"24/04/2020";"1.000";"R$ 26,00";"R$ 26.000,00";"01.028.789.20.07";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"47";"2020";"Hospital Metropolitano Odilon Behrens";"02.662.841/0001-90";"Mastermed Comercial Ltda - Epp";"Materiais de assistM-jncia ventilatM-sria - SONDA PARA ASPIRAM-GM-CO TRAQUEAL, SISTEMA FECHADO 12 FR, ADULTO, MEDINDO APROXIMADAMENTE 55 CM DE COMPRIMENTO PARA USO EM TUBO ENDOTRAQUEAL NM-: 6,0 E 6,5.";"24/04/2020";"24/04/2020";"24/04/2020";"30";"R$ 114,80";"R$ 3.444,00";"01.028.789.20.07";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"48";"2020";"Hospital Metropolitano Odilon Behrens";"02.662.841/0001-90";"Mastermed Comercial Ltda - Epp";"Materiais de assistM-jncia ventilatM-sria - CM-BMARA DE INALAM-GM-CO VALVULADA ADULTO "
"CM-BMARA DE INALAM-GM-CO VALVULADA EM PLM-ASTICO DO TIPO RP 345 NATURAL ";"24/04/2020";"24/04/2020";"24/04/2020";"170";"R$ 114,80";"R$ 19.516,00";"01.028.789.20.07";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"49";"2020";"Hospital Metropolitano Odilon Behrens";"02.662.841/0001-90";"Mastermed Comercial Ltda - Epp";"Materiais de assistM-jncia ventilatM-sria -  CM-BMARA DE INALAM-GM-CO VALVULADA ADULTO "
"CM-BMARA DE INALAM-GM-CO VALVULADA EM PLM-ASTICO DO TIPO RP 345 NATURAL ";"24/04/2020";"24/04/2020";"24/04/2020";"1.000";"R$ 26,00";"R$ 26.000,00";"01.028.789.20.07";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"50";"2020";"Secretaria Municipal de SaM-zde";"52.202.744/0001-92";"Nacional Comercial Hospitalar";"MASCARA CIRURGICA DESCARTAVEL COM 3 CAMADAS";"24/04/2020";"08/04/2020";"07/05/2020";"400.000";"R$ 3,90";"R$ 1.560.000,00";"04.000.426.20.50";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"51";"2020";"Hospital Metropolitano Odilon Behrens";"08.304.991/0001-08";"PS - Distribuidora de Produtosda SaM-zde Ltda- ME";"Materiais de assistM-jncia ventilatM-sria (CM-bmaras)";"24/04/2020";"24/04/2020";"24/04/2020";"720";"R$ 45,00";"R$ 32.400,00";"01.028.789.20.07";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"52";"2020";"Hospital Metropolitano Odilon Behrens";"08.304.991/0001-08";"PS - Distribuidora de Produtosda SaM-zde Ltda- ME";"Materiais de assistM-jncia ventilatM-sria (CM-bmaras)";"24/04/2020";"24/04/2020";"24/04/2020";"360";"R$ 45,00";"R$ 16.200,00";"01.028.789.20.07";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"53";"2020";"Secretaria Municipal de PolM-mtica Urbana";"18266878/0001-39";"Comercial Nosso Lar Eirelli - EPP";"MM-ascaras cirM-zrgicas com 3 camadas";"27/04/2020";"27/04/2020";"27/04/2020";"2.000";"R$ 3,00";"R$ 6.000,00";"01.034.474.20.80";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"54";"2020";"Secretaria Municipal de SaM-zde";"52.202.744/0001-92";"Nacional Comercial Hospitalar";"MASCARA CIRURGICA DESCARTAVEL COM 3 CAMADAS";"27/04/2020";"08/04/2020";"07/05/2020";"1.100.000";"R$ 3,90";"R$ 4.290.000,00";"04.000.426.20.50";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"55";"2020";"Secretaria Municipal de SaM-zde";"59.717.553/0006-17";"Multilaser Industrial S/A";"EP-21.6 - RESPIRADOR PURIFICADOR DE AR TIPO PECA SEMIFACIAL FILTRANTE CLASSE PFF2 (N95), COM CAPACID";"29/04/2020";"09/04/2020";"08/05/2020";"50.000";"R$ 16,77";"R$ 838.500,00";"04.000.427.20.12";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"56";"2020";"Secretaria Municipal de SeguranM-ga e PrevenM-gM-co";"78.451.614/0001-87";"A. P. Tortelli ComM-ircio de Produtos MM-idico Hospitalares Ltda.";"AquisiM-gM-co de 25.000 (vinte e cinco mil) mM-ascaras cirM-zrgicas descartM-aveis";"30/04/2020";"30/04/2020";"14/05/2020";"25.000";"R$ 2,90";"R$ 72.500,00";"01.034.862.20.80";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"57";"2020";"Hospital Metropolitano Odilon Behrens";"00.029.372/0002-21";"GE Healthcare do Brasil ComM-ircio e ServiM-gos para Equipamentos MM-idico-Hospitalares Ltda";"Sistema de Ultrassonografia Digital PortM-atil";"04/05/2020";"04/05/2020";"04/05/2020";"3";"R$ 70.000,00";"R$ 210.000,00";"01.030.662.20.49";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"58";"2020";"Hospital Metropolitano Odilon Behrens";"13.544.710/0001-24";"Global Medical Service Eireli - Epp";"PeM-gas para ventilador pulmonar - kit 5.000 horas para ventilador maquet servo";"04/05/2020";"04/05/2020";"04/05/2020";"1";"R$ 1.950,00";"R$ 1.950,00";"01.030.663.20.01";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"59";"2020";"Hospital Metropolitano Odilon Behrens";"31.375.959/0001-35";"Inframed SoluM-gM-ues TecnolM-sgicas Eireli";"PeM-gas para ventilador pulmonar - BATERIA PARA VENTILADOR MAQUET SERVO-S";"04/05/2020";"04/05/2020";"04/05/2020";"2";"R$ 3.300,00";"R$ 6.600,00";"01.030.663.20.01";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"60";"2020";"Hospital Metropolitano Odilon Behrens";"31.375.959/0001-35";"Inframed SoluM-gM-ues TecnolM-sgicas Eireli";"PeM-gas para ventilador pulmonar - CM-ILULA DE OXIGM-JNIO PARA VENTILADOR MAQUET SERVO-S";"04/05/2020";"04/05/2020";"04/05/2020";"1";"R$ 1.700,00";"R$ 1.700,00";"01.030.663.20.01";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"61";"2020";"Hospital Metropolitano Odilon Behrens";"25.027.909/0001-64";"KL Distribuidora de Produtos Ltda";"Touca CirM-zgica descartM-avel";"04/05/2020";"04/05/2020";"04/05/2020";"1.000";"R$ 6,79";"R$ 6.790,00";"01.030.537.20.57";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"62";"2020";"Hospital Metropolitano Odilon Behrens";"06.940.329/0001-19";"Med Sharp IndM-zstria e ComM-ircio de Produtos Hospitalares Ltda";"Frascos rM-mgidos";"04/05/2020";"04/05/2020";"04/05/2020";"3.000";"R$ 18,30";"R$ 54.900,00";"01.030.539.20.82";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
"63";"2020";"SuperintendM-jncia de Desenvolvimento da Capital - SUDECAP";"30.804.463/0001-77";"Relacionar ComM-ircio Ltda.";"M-Alcoo em gel - bombona com 5 litros";"05/05/2020";"04/05/2020";"04/05/2020";"65";"R$ 92,00";"R$ 5.980,00";"01.033.479.20.69";"BELO HORIZONTE";"DISPENSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"^M"
