REEMBOLSO;NOME DO PARLAMENTAR;ANO;SUBQUOTA TRANSLATED;FORNECEDOR;VALOR
7001073;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;ENEL-61.695.227/0001-93;285,41
7001097;ALEX MANENTE;2020;Telefonia;VIVO-02.558.157/0001-62;290,42
7001083;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;SOLARYS SOLUCOES DIGITAIS LTDA-08.648.207/0001-89;500
7001069;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;CENTRO EMPRESARIAL MEDITERRANEO-03.378.149/0001-05;781,15
7001066;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;CENTRO EMPRESARIAL MEDITERRANEO-03.378.149/0001-05;812,5
7001064;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;CENTRO EMPRESARIAL MEDITERRANEO-03.378.149/0001-05;815,48
7001091;ALEX MANENTE;2020;Telefonia;VIVO-02.558.157/0001-62;1363,21
0;ALEXANDRE FROTA;2020;Serviços postais;CORREIOS - CARTA REGISTRADA-00.000.000/0000-07;8,4
0;ALEXANDRE FROTA;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;26,39
0;ALEXANDRE FROTA;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL COM AR-00.000.000/0000-07;41,81
0;ALEXANDRE FROTA;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;53,6
7001940;ALEXANDRE FROTA;2020;Fornecimento de alimentação do parlamentar;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC-33.469.172/0016-44;78,81
6994225;ALEXANDRE FROTA;2020;Combustíveis e lubrificantes;AUTO SHOPPING DERIVADO DE PETROLEO LTDA-37.063.328/0010-58;124,61
6996912;ALEXANDRE FROTA;2020;Combustíveis e lubrificantes;Posto de Combustiveis Garantia Ltda-72.578.438/0002-43;130,29
7001503;ALEXANDRE FROTA;2020;Manutenção de escritório de apoio à atividade parlamentar;WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME-12.132.854/0001-00;182,5
6994222;ALEXANDRE FROTA;2020;Combustíveis e lubrificantes;Posto de Combustiveis Garantia Ltda-72.578.438/0002-43;204,04
7001493;ALEXANDRE FROTA;2020;Combustíveis e lubrificantes;Posto de Combustiveis Garantia Ltda-72.578.438/0002-43;268,86
0;ALEXANDRE FROTA;2020;Serviços postais;CORREIOS - CARTA REGISTRADA-00.000.000/0000-07;487,2
7014054;ALEXANDRE FROTA;2020;Locação ou fretamento de veículos automotores;NOVITTA RENT A CAR TRANSPORTE LTDA ME-02.214.932/0001-62;4545
6995310;ALEXANDRE FROTA;2020;Consultorias, pesquisas e trabalhos técnicos;Roca & Teixeira Sociedade de Advogados-10.417.692/0001-21;6000
6996884;ALEXANDRE FROTA;2020;Locação ou fretamento de veículos automotores;NOVITTA RENT A CAR TRANSPORTE LTDA ME-02.214.932/0001-62;7744,1
0;ALEXANDRE LEITE;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;35,46
6997743;ALEXANDRE LEITE;2020;Serviços postais;CORREIOS-68.182.203/0001-80;39,4
7008340;ALEXANDRE LEITE;2020;Combustíveis e lubrificantes;FRATELLI POSTO DE COMBUSTIVEIS LTDA-08.884.038/0001-86;200
7008339;ALEXANDRE LEITE;2020;Combustíveis e lubrificantes;FRATELLI POSTO DE COMBUSTIVEIS LTDA-08.884.038/0001-86;210,7
6993297;ALEXANDRE LEITE;2020;Serviço de segurança prestado por empresa especializada;RPW Monitoramento e Serviços LTDA - EPP-22.378.694/0001-38;220
6993319;ALEXANDRE LEITE;2020;Manutenção de escritório de apoio à atividade parlamentar;ENEL-61.695.227/0001-93;269,21
6993318;ALEXANDRE LEITE;2020;Manutenção de escritório de apoio à atividade parlamentar;ENEL-61.695.227/0001-93;270,49
6999600;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CENTROVIAS S. RODOV. S/A-02.555.926/0001-79;5,4
6999596;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CENTROVIAS S. RODOV. S/A-02.555.926/0001-79;5,4
6999562;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;ENTREVIAS-26.664.057/0001-89;6,2
6998938;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;6,4
6998929;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;6,4
6997750;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;7,7
6999586;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;VIAPAULISTA S/A-28.019.100/0001-89;8,1
6999573;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;VIAPAULISTA S/A-28.019.100/0001-89;8,1
6998950;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;8,4
6998939;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;8,4
6997701;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;8,8
6999161;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;9,5
6999157;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;9,5
6999509;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;9,6
6999465;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;CONC. SISTEMA ANHANGUERA-BANDEIRANTES S/A-02.451.848/0001-62;9,6
6999542;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;11,4
6999520;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;13,7
6999536;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;16
6999550;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;16,9
6999527;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;16,9
6997751;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;16,9
6997722;ALEXANDRE PADILHA;2020;Serviço de táxi, pedágio e estacionamento;AB TRIANGULO-02.509.186/0001-34;16,9
7000387;ALEXANDRE PADILHA;2020;Hospedagem ,exceto do parlamentar no distrito federal;J.K.L.M.BUFFET LTDA -EPP-05.507.782/0001-73;180
6999800;ALEXANDRE PADILHA;2020;Locação ou fretamento de veículos automotores;LOCALIZA ALUGUEL DE CARROS-16.670.085/0173-92;751,61
7000930;ALEXANDRE PADILHA;2020;Divulgação da atividade parlamentar;MARIANA MARIA BERTOLO CUNHA 38363014826-27.427.634/0001-81;5000
0;ARLINDO CHINAGLIA;2020;Serviços postais;CORREIOS - TELEGRAMA COM CÓPIA-00.000.000/0000-07;16,3
6993936;ARLINDO CHINAGLIA;2020;Hospedagem ,exceto do parlamentar no distrito federal;ARITUBA EMPREENDIMENTO TURISTICO LTDA-40.766.826/0002-61;600
1722285;ARLINDO CHINAGLIA;2020;Emissão bilhete aéreo;Cia Aérea - PASSAREDO-00.512.777/0001-35;764,89
1722286;ARLINDO CHINAGLIA;2020;Emissão bilhete aéreo;Cia Aérea - PASSAREDO-00.512.777/0001-35;771,95
7009208;ARLINDO CHINAGLIA;2020;Telefonia;Telefônica Brasil S.A. VIVO/GVT-02.558.157/0001-62;842,12
6995588;ARLINDO CHINAGLIA;2020;Telefonia;TELEFÔNICA BRASIL S.A. VIVO-02.558.157/0001-62;869,93
6995465;ARLINDO CHINAGLIA;2020;Manutenção de escritório de apoio à atividade parlamentar;VENERÁVEL ORDEM TERCEIRA SÃO FRANCISCO DA PENITENCIA DA CIDADE SP-62.799.150/0001-64;3353,77
7002877;ARLINDO CHINAGLIA;2020;Locação ou fretamento de veículos automotores;INVESTCAR VEICULOS LTDA-00.000.000/0000-10;3600
7004304;ARNALDO JARDIM;2020;Serviço de táxi, pedágio e estacionamento;ENSEADA TÁXI-04.384.705/0001-00;25
0;ARNALDO JARDIM;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;35,46
0;ARNALDO JARDIM;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;36,94
0;ARNALDO JARDIM;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL COM AR-00.000.000/0000-07;58,49
7004849;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;RODOPOSTO MARISTELA LTDA-46.830.865/0001-86;63,01
7004681;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;RODOPOSTO BANDEIRANTES SUL LTDA-05.289.870/0001-46;69,96
7004842;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO AUSTRIA LTDA-04.040.553/0001-29;79,54
7004762;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO TRES DE ABRIL LTDA-07.673.195/0001-80;92,39
7004729;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO SANTA LUCIA DE BARIRI LTDA-02.887.390/0001-99;98,02
7004857;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;ALBINO e GUARNIERI LT-43.742.204/0001-00;99,69
7004770;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO VEIGA FILHO LT-43.552.462/0001-24;100,05
7004710;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO NOVAIS LUENGO E SIVIERO-00.378.858/0001-94;108,01
7004812;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO PLAYGAS LTDA-03.170.356/0001-61;114
7004872;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;RODOPOSTO MARISTELA LTDA-46.830.865/0001-86;121,01
7004794;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;CENTRO AUTOMOTIVO ARARAJUBA LTDA-04.205.711/0001-53;123,09
7004822;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;T N T POSTO DE SERVICOS E CONVENIENCIAS LTDA-09.629.065/0001-75;125
7004747;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO NOZOCA-15.515.861/0001-80;131,01
7004804;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;MARTINELI AUTO POSTO RIBEIRAO LTDA-08.225.043/0001-87;131,22
7004777;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO BRASIL GAS SANTA ISABEL LTDA-24.496.451/0001-20;142,05
7004830;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;POSTO DE SERVICOS 23 DE MAIO LTDA-18.811.994/0001-91;150
0;ARNALDO JARDIM;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;153,78
7004694;ARNALDO JARDIM;2020;Combustíveis e lubrificantes;AUTO POSTO DUQUE JK LTDA-07.846.581/0001-26;166,53
7004276;ARNALDO JARDIM;2020;Hospedagem ,exceto do parlamentar no distrito federal;ATRIO HOTEIS S.A.-80.732.928/0024-96;203,84
7004253;ARNALDO JARDIM;2020;Hospedagem ,exceto do parlamentar no distrito federal;ATRIO HOTEIS S.A.-80.732.928/0024-96;203,84
7004246;ARNALDO JARDIM;2020;Hospedagem ,exceto do parlamentar no distrito federal;ATRIO HOTEIS S.A.-80.732.928/0024-96;203,84
0;ARNALDO JARDIM;2020;Serviços postais;CORREIOS - ENCOMENDA PAC-00.000.000/0000-07;234,85
7000999;ARNALDO JARDIM;2020;Hospedagem ,exceto do parlamentar no distrito federal;CASTOR - ADMINISTRACAO DE HOTELARIA LTDA-01.061.991/0002-66;389,34
7001027;ARNALDO JARDIM;2020;Serviços postais;SEP- COMERCIO E REPRESENTAÇÃO LTDA-68.296.722/0001-79;422,4
7001010;ARNALDO JARDIM;2020;Hospedagem ,exceto do parlamentar no distrito federal;CASTOR - ADMINISTRACAO DE HOTELARIA LTDA-01.061.991/0002-66;441,34
0;BALEIA ROSSI;2020;Serviços postais;CORREIOS - CARTA COMERCIAL-00.000.000/0000-07;10,25
0;BALEIA ROSSI;2020;Serviços postais;CORREIOS - CARTA COMERCIAL-00.000.000/0000-07;21,6
0;BALEIA ROSSI;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;75,42
6999056;BALEIA ROSSI;2020;Telefonia;TELEFÔNICA BRASIL S.A. VIVO-02.558.157/0001-62;280,31
7002599;BALEIA ROSSI;2020;Manutenção de escritório de apoio à atividade parlamentar;CONDE & DELL ARINGA - DES DE SOFTWARES-09.613.772/0001-73;508
6999053;BALEIA ROSSI;2020;Telefonia;TELEFÔNICA BRASIL S.A. VIVO-02.558.157/0001-62;1347,94
7001693;BALEIA ROSSI;2020;Divulgação da atividade parlamentar;CALIL DIB PROMOÇÕES DE EVENTOS LTDA-07.953.931/0001-53;3500
6999294;BALEIA ROSSI;2020;Locação ou fretamento de veículos automotores;FIDELITY PRODUÇÕES EVENTOS-10.925.965/0001-49;4050
0;BRUNA FURLAN;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;35,46
0;BRUNA FURLAN;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;53,19
0;BRUNA FURLAN;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;65
6993277;BRUNA FURLAN;2020;Telefonia;TELEFÔNICA BRASIL S.A. VIVO-02.558.157/0001-62;79,99
0;BRUNA FURLAN;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;129,54
6997311;BRUNA FURLAN;2020;Combustíveis e lubrificantes;CRUZEIRO COMBUSTIVEIS E SERVICOS S/A-26.991.067/0001-29;150
6996371;BRUNA FURLAN;2020;Manutenção de escritório de apoio à atividade parlamentar;TELEFÔNICA BRASIL S.A. VIVO-02.558.157/0001-62;249,89
6996377;BRUNA FURLAN;2020;Telefonia;TELEFÔNICA BRASIL S.A. VIVO-02.558.157/0001-62;273,19
6997168;BRUNA FURLAN;2020;Manutenção de escritório de apoio à atividade parlamentar;EDIFICIO NEW BUSINESS CENTER CASTELLO BRANCO-19.366.138/0001-37;489,99
6997714;BRUNA FURLAN;2020;Manutenção de escritório de apoio à atividade parlamentar;EDIFICIO NEW BUSINESS CENTER CASTELLO BRANCO-19.366.138/0001-37;501,13
6992356;BRUNA FURLAN;2020;Combustíveis e lubrificantes;PRATA PURA SERVICOS AUTOMOTIVOS LTDA-15.230.664/0001-14;2067,21
6993856;BRUNA FURLAN;2020;Manutenção de escritório de apoio à atividade parlamentar;Dawton Roberto Batista Gaia-034.142.268-12;2444,1
7000611;BRUNA FURLAN;2020;Divulgação da atividade parlamentar;lucymidias-36.076.863/0001-90;5000
6996576;CAPITÃO AUGUSTO;2020;Serviço de táxi, pedágio e estacionamento;Concessionária Atuo Raposo Tavares S/A-10.531.501/0009-05;7,4
6996562;CAPITÃO AUGUSTO;2020;Fornecimento de alimentação do parlamentar;COFFEE AEROPORTO LTDA-17.325.646/0005-75;32
6996468;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;111,8
6996608;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;WE AUTO POSTO LTDA-07.623.527/0001-11;122,57
6996432;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;141,16
6996546;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;SSJT Serviço de Auto Posto Ltda-15.619.911/0002-50;150
6996455;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;175,41
6996442;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;178
6997151;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;186,17
6997147;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;200,04
6997167;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO PIRAI LTDA-61.990.693/0001-00;201,11
6997165;CAPITÃO AUGUSTO;2020;Manutenção de escritório de apoio à atividade parlamentar;companhia jaguari de energia s.a.-53.859.112/0001-69;203,47
6996435;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;225,32
6997156;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;230,44
6997152;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;243
6997153;CAPITÃO AUGUSTO;2020;Combustíveis e lubrificantes;AUTO POSTO MIRANTE DE OURINHOS LTDA-23.085.488/0001-00;243,6
7007442;CAPITÃO AUGUSTO;2020;Manutenção de escritório de apoio à atividade parlamentar;PARLANET WEB E TECNOLOGIA EIRELI-31.602.730/0001-96;350
1723466;CAPITÃO AUGUSTO;2020;Emissão bilhete aéreo;Cia Aérea - AZUL-09.296.295/0001-60;3196,85
0;CARLA ZAMBELLI;2020;Serviços postais;CORREIOS - CARTA COMERCIAL-00.000.000/0000-07;6,45
0;CARLA ZAMBELLI;2020;Serviços postais;CORREIOS - CARTA REGISTRADA COM AR-00.000.000/0000-07;16,65
6995080;CARLA ZAMBELLI;2020;Serviços postais;ECT- EMP.BRAS.DE CORREIOS E TELEGRAFOS-00.190.292/0001-72;35,1
0;CARLA ZAMBELLI;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;73,89
7003930;CARLA ZAMBELLI;2020;Assinatura de publicações;Editora Globo S.A.-04.067.191/0007-55;99,9
7000668;CARLA ZAMBELLI;2020;Manutenção de escritório de apoio à atividade parlamentar;PLENA INFORMATICA LTDA EPP-03.038.875/0001-70;159,7
6995092;CARLA ZAMBELLI;2020;Combustíveis e lubrificantes;POSTO DA TORRE EIRELI - EPP-04.473.193/0001-59;180,61
6995856;CARLA ZAMBELLI;2020;Combustíveis e lubrificantes;GOES COMBUSTIVEIS LUBRIRICANTES E GLP LTDA-05.454.390/0001-93;186,15
7004239;CARLA ZAMBELLI;2020;Combustíveis e lubrificantes;GOES COMBUSTIVEIS LUBRIRICANTES E GLP LTDA-05.454.390/0001-93;193,25
6993957;CARLA ZAMBELLI;2020;Combustíveis e lubrificantes;YOSHIURA e YOSHIURA LTDA-05.350.828/0001-93;200
7000102;CARLA ZAMBELLI;2020;Combustíveis e lubrificantes;AUTO POSTO CINCO ESTRELAS LTDA-00.692.418/0001-07;206,1
7000958;CARLA ZAMBELLI;2020;Combustíveis e lubrificantes;AUTO SHOPPING DERIVADO DE PETROLEO LTDA-37.063.328/0010-58;211,23
6995862;CARLA ZAMBELLI;2020;Combustíveis e lubrificantes;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA-00.306.597/0060-57;224,85
6995853;CARLA ZAMBELLI;2020;Manutenção de escritório de apoio à atividade parlamentar;PLENA INFORMATICA LTDA EPP-03.038.875/0001-70;305,5
6997038;CARLA ZAMBELLI;2020;Divulgação da atividade parlamentar;RAFAEL GONZALEZ MARTINEZ-26.460.749/0001-05;2000
6997061;CARLA ZAMBELLI;2020;Manutenção de escritório de apoio à atividade parlamentar;IZUMI INFORMÁTICA LTDA ME-08.604.726/0001-45;2976
6992740;CARLA ZAMBELLI;2020;Divulgação da atividade parlamentar;URBANO VILLELA PRODUCOES LTDA-23.089.473/0001-02;3000
0;CARLOS SAMPAIO;2020;Serviços postais;CORREIOS - SEDEX 10 COM AR-00.000.000/0000-07;72,05
6996557;CARLOS SAMPAIO;2020;Manutenção de escritório de apoio à atividade parlamentar;Sanasa Campinas-46.119.855/0001-37;162,75
7003712;CARLOS SAMPAIO;2020;Serviço de segurança prestado por empresa especializada;VERISURE BRASIL MONITORAMENTO-11.660.106/0001-38;169
1723533;CARLOS SAMPAIO;2020;Emissão bilhete aéreo;Cia Aérea - AZUL-09.296.295/0001-60;325
1723532;CARLOS SAMPAIO;2020;Emissão bilhete aéreo;Cia Aérea - AZUL-09.296.295/0001-60;325
7006468;CARLOS SAMPAIO;2020;Telefonia;VIVO TELEFONICA BRASIL S.A.-02.558.157/0001-62;340,75
7004963;CARLOS SAMPAIO;2020;Manutenção de escritório de apoio à atividade parlamentar;COMPANHIA PAULISTA DE FORÇA E LUZ-33.050.196/0001-88;651,03
1723474;CARLOS SAMPAIO;2020;Emissão bilhete aéreo;Cia Aérea - AZUL-09.296.295/0001-60;840,28
1723473;CARLOS SAMPAIO;2020;Emissão bilhete aéreo;Cia Aérea - AZUL-09.296.295/0001-60;840,28
7003661;CARLOS SAMPAIO;2020;Combustíveis e lubrificantes;POSTO CAFE BRASIL LT-01.627.158/0001-59;1514
7008532;CARLOS SAMPAIO;2020;Locação ou fretamento de veículos automotores;SINAL ALUGUEL DE VEICULOS LTDA-13.009.877/0001-95;1926
6999140;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;99 POP-18.033.552/0001-61;8,8
6999135;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;99 POP-18.033.552/0001-61;19,28
6999117;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;99 POP-18.033.552/0001-61;26,7
6999148;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;99 POP-18.033.552/0001-61;34
7005395;CARLOS ZARATTINI;2020;Serviços postais;EMPRESA DE COMUNICACAO VITAL BRASIL LTDA-00.467.855/0001-27;35,1
6999127;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;99 POP-18.033.552/0001-61;36,1
6999141;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;99 POP-18.033.552/0001-61;38,43
7001577;CARLOS ZARATTINI;2020;Telefonia;Claro S.A-40.432.544/0001-47;39,88
7001579;CARLOS ZARATTINI;2020;Telefonia;Claro S.A-40.432.544/0001-47;49,77
6999143;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;99 POP-18.033.552/0001-61;55,3
7005511;CARLOS ZARATTINI;2020;Assinatura de publicações;Editora Globo S.A.-04.067.191/0007-55;79,9
6999060;CARLOS ZARATTINI;2020;Combustíveis e lubrificantes;POSTO DE SERVICO FLOREAT LT-59.143.404/0001-87;185,91
6999070;CARLOS ZARATTINI;2020;Combustíveis e lubrificantes;POSTO DE SERVICO FLOREAT LT-59.143.404/0001-87;201,92
7001545;CARLOS ZARATTINI;2020;Combustíveis e lubrificantes;POSTO DE SERVICO FLOREAT LT-59.143.404/0001-87;205,48
7001552;CARLOS ZARATTINI;2020;Combustíveis e lubrificantes;POSTO DE SERVICO FLOREAT LT-59.143.404/0001-87;224,75
6999061;CARLOS ZARATTINI;2020;Combustíveis e lubrificantes;ARGETAX ADMIN ISTRACAO E PARTICIPACOES EM EMPREEN-04.383.988/0004-19;224,96
7005524;CARLOS ZARATTINI;2020;Manutenção de escritório de apoio à atividade parlamentar;CARTUCHOS DO BRASIL & INFORMATICA LTDA-10.924.541/0001-60;230
6999066;CARLOS ZARATTINI;2020;Combustíveis e lubrificantes;BG LESTE PETROLEO LTDA-04.881.800/0001-10;232,36
7001587;CARLOS ZARATTINI;2020;Manutenção de escritório de apoio à atividade parlamentar;LOCAWEB SERVICOS DE INTERNET S.A.-02.351.877/0001-52;257,96
6999064;CARLOS ZARATTINI;2020;Combustíveis e lubrificantes;AUTO POSTO LUCCA FREIRE LTDA-09.500.434/0001-25;266,69
7005499;CARLOS ZARATTINI;2020;Serviço de táxi, pedágio e estacionamento;CENTRO DE GESTÃO DE MEIOS DE PGTO. LTDA. - SEM PARAR-04.088.208/0001-65;319,08
0;CARLOS ZARATTINI;2020;Serviços postais;CORREIOS - ENCOMENDA PAC-00.000.000/0000-07;409,15
7005404;CARLOS ZARATTINI;2020;Serviço de segurança prestado por empresa especializada;SHIMITD SERVIÇO DE SEGURANÇA PATRIMONIAL LTDA-00.892.482/0001-31;850
7001555;CARLOS ZARATTINI;2020;Divulgação da atividade parlamentar;PAULO ROGERIO DE JESUS SILVA 38942369812-15.097.627/0001-80;1800
7001563;CARLOS ZARATTINI;2020;Manutenção de escritório de apoio à atividade parlamentar;Basília Maria Batista Aguirre-908.340.628-87;8000
