gid,UF,nome,Censo,PIB,pop,classe,desemprego,pop_sanea,expec_vida,pobreza,IDH,urbaniz,dens_pop_urbana
812,ALAGOAS,Cacimbinhas,2010,39280.7421875,10182,1,9.5,30.4259835628389,73.1,20.6,634,rural,muito baixa
783,ALAGOAS,Cajueiro,2010,77771.0703125,20825,1,9.8,33.0826100746016,73.4,20.2,631,rural,muito baixa
763,ALAGOAS,Campestre,2010,25780.65820312,6178,1,10.9,31.9594061369628,71.7,21,637,rural,muito baixa
718,ALAGOAS,Campo Alegre,2010,182361.03125,47209,1,9,31.2671689594136,70.5,20.7,635,rural,muito baixa
705,ALAGOAS,Campo Grande,2010,32337.46289062,9909,1,8.8,32.6770591362804,71.4,20.8,634,rural,muito baixa
1256,ALAGOAS,Canapi,2010,53345.25390625,18397,1,9.7,32.2296567421759,71.3,19.5,636,rural,muito baixa
785,ALAGOAS,Capela,2010,73067.953125,17366,1,10.3,32.2265408622423,71.3,21.2,625,rural,muito baixa
826,ALAGOAS,Carneiros,2010,24778.15429688,8463,1,9.1,30.3802968006385,71.1,21.3,629,rural,muito baixa
709,ALAGOAS,Chã Preta,2010,26925.03125,7073,1,8.9,33.048284488377,70.7,20.5,629,rural,muito baixa
796,ALAGOAS,Coité do Nóia,2010,31372.484375,11127,1,8.1,31.0212545310715,71.8,20.4,633,rural,muito baixa
761,ALAGOAS,Colônia Leopoldina,2010,106579.515625,20181,1,9.5,33.2350391810899,72.8,20.5,633,rural,muito baixa
699,ALAGOAS,Coqueiro Seco,2010,19754.61328125,5525,1,10,32.5545275296096,70.7,21.3,625,rural,muito baixa
830,ALAGOAS,Coruripe,2010,463296.53125,53369,1,8.2,33.4362195730703,71.8,20.2,625,rural,muito baixa
702,ALAGOAS,Craíbas,2010,73514.7890625,23294,1,8.6,30.6826004957299,72.4,20.5,629,rural,muito baixa
823,ALAGOAS,Delmiro Gouveia,2010,276627.6875,48462,1,10.5,31.3544713072771,73.1,20.7,624,rural,muito baixa
814,ALAGOAS,Dois Riachos,2010,35078.25390625,11200,1,10.8,31.9796185714172,71.9,20.8,637,rural,muito baixa
1152,ALAGOAS,Estrela de Alagoas,2010,48915.7578125,17251,1,8.3,31.2078659700182,73,21.4,624,rural,muito baixa
716,ALAGOAS,Feira Grande,2010,67006.5546875,21824,1,10.8,33.4616597160123,70.9,20.4,627,rural,muito baixa
793,ALAGOAS,Feliz Deserto,2010,34067.5078125,4568,1,9,32.5204895126754,72,20.6,636,rural,muito baixa
717,ALAGOAS,Flexeiras,2010,45588.03125,12290,1,8.5,30.8086586715863,73.2,19.7,638,rural,muito baixa
704,ALAGOAS,Girau do Ponciano,2010,111610.8828125,36904,1,8.4,32.9434688527863,72,20.5,634,rural,muito baixa
706,ALAGOAS,Ibateguara,2010,56599.32421875,15863,1,9.3,32.6631349958643,72.6,20.8,636,rural,muito baixa
700,ALAGOAS,Igaci,2010,81381.578125,25865,1,8.3,32.6095368869038,71.6,20.8,627,rural,muito baixa
792,ALAGOAS,Igreja Nova,2010,129697.7734375,23807,1,10.1,33.008989296042,71.6,20.1,627,rural,muito baixa
819,ALAGOAS,Inhapi,2010,49013.73046875,18166,1,8.8,33.4096747751905,72.1,20.5,633,rural,muito baixa
804,ALAGOAS,Jacaré dos Homens,2010,30879.77734375,5902,1,9.6,33.749605400417,71,19.8,629,rural,muito baixa
691,ALAGOAS,Jacuípe,2010,29361.71679688,7045,1,10,31.8058292679092,72.2,19.6,628,rural,muito baixa
693,ALAGOAS,Japaratinga,2010,30499.59179688,7763,1,8,32.2248435154184,73.2,19.7,636,rural,muito baixa
807,ALAGOAS,Jaramataia,2010,23547.14648438,6140,1,9.2,32.2578692601385,71.8,21,626,rural,muito baixa
719,ALAGOAS,Jequiá da Praia,2010,108508.890625,11615,1,10.4,32.8196290581897,70.8,20.3,636,rural,muito baixa
714,ALAGOAS,Joaquim Gomes,2010,67053.9296875,22436,1,10,33.5346089970453,71.8,20,633,rural,muito baixa
712,ALAGOAS,Jundiá,2010,21836.53515625,4698,1,8.7,32.0157142935541,73,21.3,629,rural,muito baixa
799,ALAGOAS,Junqueiro,2010,98153.7734375,25290,1,10.9,31.8222361369321,71.3,19.7,630,rural,muito baixa
701,ALAGOAS,Lagoa da Canoa,2010,60461.83984375,18196,1,9.6,32.5297384662835,71,21.5,626,rural,muito baixa
797,ALAGOAS,Limoeiro de Anadia,2010,74192.875,26415,1,10.1,33.4597629363609,73.5,19.6,625,rural,muito baixa
694,ALAGOAS,Maceió,2010,10264218,936314,2,9.8,31.0588525089075,72.1,20.2,636,muito alto,alta
809,ALAGOAS,Major Isidoro,2010,73942.796875,19530,1,10.2,30.8838204549291,71.5,19.9,634,rural,muito baixa
776,ALAGOAS,Mar Vermelho,2010,15055.91699219,4131,1,8.7,32.6124760829198,71.5,21.2,628,rural,muito baixa
1257,ALAGOAS,Maragogi,2010,115097.2109375,26978,1,9.7,32.1509878243383,71.5,20.2,636,rural,muito baixa
820,ALAGOAS,Maravilha,2010,33863.60546875,10110,1,9.8,33.7667682429101,72.2,21,625,rural,muito baixa
788,ALAGOAS,Marechal Deodoro,2010,620477.5,47623,2,10.2,31.180721672849,71.7,20.8,634,rural,muito baixa
778,ALAGOAS,Maribondo,2010,55018.47265625,14144,1,8.3,32.7428615513482,73.4,20.5,625,rural,muito baixa
1258,ALAGOAS,Mata Grande,2010,70679.9765625,25309,1,9.9,33.0000534921449,73.4,21.3,630,rural,muito baixa
762,ALAGOAS,Matriz de Camaragibe,2010,102110.5078125,25493,1,9.8,32.4120562400167,72.9,21.1,626,rural,muito baixa
743,ALAGOAS,Messias,2010,62115.51171875,15899,1,8.4,31.8043308453962,71.3,20.2,630,rural,muito baixa
818,ALAGOAS,Minador do Negrão,2010,22713.8515625,5292,1,10.3,32.6540697058318,71.4,20,637,rural,muito baixa
808,ALAGOAS,Monteirópolis,2010,22985.1328125,7292,1,9.4,30.1479063126091,72.2,20.1,626,rural,muito baixa
775,ALAGOAS,Murici,2010,109038.859375,26918,1,9.8,33.4215850935881,72.5,21,627,rural,muito baixa
711,ALAGOAS,Novo Lino,2010,47015.875,12449,1,8.8,33.0924863082967,73.4,20.1,626,rural,muito baixa
810,ALAGOAS,Olho D'Água das Flores,2010,70390.265625,20555,1,8.6,30.2388839383503,73.1,21.3,631,rural,muito baixa
822,ALAGOAS,Olho D'Água do Casado,2010,27759.3671875,8517,1,10.6,32.5957963174296,73.1,19.8,638,rural,muito baixa
794,ALAGOAS,Olho D'Água Grande,2010,16447.203125,4963,1,9.2,32.8717177433526,72.2,20.8,630,rural,muito baixa
811,ALAGOAS,Olivença,2010,33409.52734375,10865,1,9.2,32.0377022179712,72.4,20.5,636,rural,muito baixa
825,ALAGOAS,Ouro Branco,2010,32711.80273438,11504,1,8.8,32.4107567827138,71,20.5,633,rural,muito baixa
766,ALAGOAS,Palestina,2010,15465.23339844,5071,1,10.3,31.0735442195368,71.2,21.3,636,rural,muito baixa
1153,ALAGOAS,Palmeira dos Índios,2010,358377.4375,72564,1,9.4,30.7115550265255,70.8,20,627,rural,muito baixa
832,ALAGOAS,Pão de Açúcar,2010,85304.7265625,24534,1,9.5,31.8962604432639,71.1,20.7,631,rural,muito baixa
828,ALAGOAS,Pariconha,2010,32510.77148438,10539,1,8.1,33.4689215657728,71.6,20.4,631,rural,muito baixa
741,ALAGOAS,Paripueira,2010,44169.84765625,10222,1,8.6,31.3246728967885,72.2,20.6,629,rural,muito baixa
708,ALAGOAS,Passo de Camaragibe,2010,59784.6875,14261,1,8,32.7389523502525,71.8,21,631,rural,muito baixa
713,ALAGOAS,Paulo Jacinto,2010,24402.88085938,7772,1,9.6,31.2442832883529,71.5,21.1,637,rural,muito baixa
791,ALAGOAS,Penedo,2010,313189.03125,61082,1,9,30.2248824501308,72.5,19.9,633,rural,muito baixa
790,ALAGOAS,Piaçabuçu,2010,66745.765625,18087,1,8.1,30.8803837356772,71.8,20.3,637,rural,muito baixa
786,ALAGOAS,Pilar,2010,174139.0625,32655,1,9.7,31.0575396249826,73.2,20.8,628,rural,muito baixa
779,ALAGOAS,Pindoba,2010,14839.16210938,3246,1,8.7,29.948411244587,70.6,20.8,628,rural,muito baixa
821,ALAGOAS,Piranhas,2010,73379.25,25107,1,10.5,30.6192994813641,71.5,20.3,633,rural,muito baixa
824,ALAGOAS,Poço das Trincheiras,2010,36296.9296875,12463,1,10.4,33.0162629580241,72.2,20.1,626,rural,muito baixa
690,ALAGOAS,Porto Calvo,2010,131020.25,26044,1,10.1,33.39586943378,71.6,20.4,624,rural,muito baixa
692,ALAGOAS,Porto de Pedras,2010,37205.45703125,10649,1,9.2,33.2303886965845,71.3,20.3,628,rural,muito baixa
723,ALAGOAS,Porto Real do Colégio,2010,59886.03515625,18453,1,10.1,32.4142325162942,71.4,20.8,635,rural,muito baixa
1154,ALAGOAS,Quebrangulo,2010,43188.9765625,11566,1,9.4,33.331130810423,70.9,20.9,627,rural,muito baixa
740,ALAGOAS,Rio Largo,2010,364321.25,67797,1,8,33.7814057194517,73.3,21.3,627,rural,muito baixa
787,ALAGOAS,Roteiro,2010,38793.6640625,6864,1,10.9,32.4423725717767,70.7,20.7,638,rural,muito baixa
722,ALAGOAS,Santa Luzia do Norte,2010,53447.09765625,7572,1,10.4,33.3150136440328,71.3,21.1,635,rural,muito baixa
813,ALAGOAS,Santana do Ipanema,2010,193882.71875,43699,1,10.7,32.1027055193095,71.9,20.2,636,baixo,alta
703,ALAGOAS,Santana do Mundaú,2010,52134.53515625,12039,1,10.5,32.1136476129412,71.9,19.9,625,rural,muito baixa
803,ALAGOAS,São Brás,2010,27549.03125,7062,1,10.3,32.5928084269375,72.9,20.6,629,rural,muito baixa
707,ALAGOAS,São José da Laje,2010,147755.59375,23112,1,10.5,30.8711091444417,71.9,20.4,625,rural,muito baixa
831,ALAGOAS,São José da Tapera,2010,85124.4453125,31361,1,10.3,33.2732112728758,73.4,20.8,628,rural,muito baixa
744,ALAGOAS,São Luís do Quitunde,2010,179677.546875,32871,1,9.4,30.4715686628755,73.1,20.8,626,rural,muito baixa
781,ALAGOAS,São Miguel dos Campos,2010,524210.28125,54064,2,8.6,30.554754951307,72.1,20,638,rural,muito baixa
760,ALAGOAS,São Miguel dos Milagres,2010,29789.48828125,7601,1,8.7,33.4716246890663,71.5,21.5,630,rural,muito baixa
795,ALAGOAS,São Sebastião,2010,123021.7890625,32181,1,9.7,32.948088596441,71,20.5,635,rural,muito baixa
729,ALAGOAS,Satuba,2010,56080.00390625,14779,1,10.5,31.5238235215619,73.4,20.3,634,rural,muito baixa
827,ALAGOAS,Senador Rui Palmeira,2010,35231.92578125,13110,1,10.4,30.5303529502544,72.9,20.7,626,rural,muito baixa
802,ALAGOAS,Tanque D'Arca,2010,18489.390625,5766,1,9.5,32.7507423998278,72.2,19.6,626,rural,muito baixa
798,ALAGOAS,Taquarana,2010,67490.1875,18848,1,9.8,33.0026713829647,72.8,20.3,625,rural,muito baixa
724,ALAGOAS,Teotônio Vilela,2010,186967.0625,41935,1,8.4,32.5959040150256,73.1,19.5,634,rural,muito baixa
730,ALAGOAS,Traipu,2010,68499.6875,25854,1,9.6,30.8274900013432,72.8,20.7,627,rural,muito baixa
764,ALAGOAS,União dos Palmares,2010,400757.65625,62727,1,10.4,30.8718757985979,73.4,20.8,638,rural,muito baixa
710,ALAGOAS,Viçosa,2010,95608.140625,26830,1,8.7,32.8822660063286,73.4,19.9,635,rural,muito baixa
1357,AMAPÁ,Amapá,2010,81456.1328125,7802,2,14.4,20.4952842531872,75.2,19.6,713,rural,muito baixa
1359,AMAPÁ,Calçoene,2010,107248.828125,9291,2,13.5,22.4655190266564,73.4,19,712,rural,muito baixa
1360,AMAPÁ,Cutias,2010,50685.06640625,4652,2,13.5,22.2854181109507,72.6,20,703,rural,muito baixa
1361,AMAPÁ,Ferreira Gomes,2010,69937.7265625,5475,2,13.4,23.8568191688456,73.8,18.4,709,rural,muito baixa
1362,AMAPÁ,Itaubal,2010,32050.08203125,3650,1,13.5,20.456752986178,74.8,19.7,712,rural,muito baixa
1363,AMAPÁ,Laranjal do Jari,2010,323042.5,40357,1,13.2,20.49848873667,73.1,20,702,baixo,média
1364,AMAPÁ,Macapá,2010,4679694,366484,2,13.1,23.6683047809977,73.7,18.4,714,muito alto,baixa
1365,AMAPÁ,Mazagão,2010,114913.0546875,14655,1,14.3,20.616220811334,73.5,18.6,715,rural,muito baixa
1366,AMAPÁ,Oiapoque,2010,230480.78125,20962,2,11.4,21.9459148619119,73.6,18.9,707,baixo,baixa
1358,AMAPÁ,Pedra Branca do Amapari,2010,104478.9921875,8182,2,13.2,20.5453354340776,75,18.5,714,rural,muito baixa
1367,AMAPÁ,Porto Grande,2010,144603.140625,14951,2,12.2,21.4802829873911,74.3,19.7,702,rural,muito baixa
1368,AMAPÁ,Pracuúba,2010,32157.5078125,3658,1,12.9,24.0297162830715,74.4,18.7,711,rural,muito baixa
1369,AMAPÁ,Santana,2010,1104524.875,97220,2,12.7,23.1954358386961,74,19.5,703,médio,média
1356,AMAPÁ,Serra do Navio,2010,109795.3046875,3982,3,12.1,22.9816523049777,75.4,19.5,707,rural,muito baixa
1370,AMAPÁ,Tartarugalzinho,2010,119988.0234375,13769,1,11.5,22.7182276915792,72.6,18.3,701,rural,muito baixa
1371,AMAPÁ,Vitória do Jari,2010,99332.9140625,11519,1,13.1,24.06381833683,75.3,19.9,676,rural,muito baixa
5558,AMAZONAS,Alvarães,2010,53516.7578125,13566,1,8,40.9548518882615,70.6,19.3,678,rural,muito baixa
5559,AMAZONAS,Amaturá,2010,34505.6796875,8828,1,9.2,42.114039525175,71.8,19.5,674,rural,muito baixa
5562,AMAZONAS,Anamã,2010,41735.99609375,8673,1,8.8,40.4466318215561,73.3,20,672,rural,muito baixa
4952,AMAZONAS,Anori,2010,74464.953125,14688,1,8.5,40.683234681904,72,18.5,669,rural,muito baixa
1005,AMAZONAS,Apuí,2010,146993.34375,18597,1,6.9,42.0783156183336,73.3,20.1,669,rural,muito baixa
333,AMAZONAS,Atalaia do Norte,2010,54603.19140625,14715,1,8.2,38.5781233432418,71.2,19.5,675,rural,muito baixa
5560,AMAZONAS,Autazes,2010,136269.859375,31774,1,9.1,40.491169075614,71.2,20.1,679,rural,muito baixa
982,AMAZONAS,Barcelos,2010,77717.203125,25410,1,7.8,41.9481933978936,71.2,19.5,668,rural,muito baixa
5530,AMAZONAS,Barreirinha,2010,101256.609375,28162,1,8.7,38.8690147115928,71.6,18.4,681,rural,muito baixa
4956,AMAZONAS,Benjamin Constant,2010,116750.1015625,31195,1,8,38.3677293226073,72.1,18.6,668,rural,muito baixa
4953,AMAZONAS,Beruri,2010,78535.7421875,14705,1,8.2,39.5330211824094,72.5,19.5,673,rural,muito baixa
5556,AMAZONAS,Boa Vista do Ramos,2010,53763.04296875,13994,1,6.9,41.2362440558976,71.2,18.6,674,rural,muito baixa
1009,AMAZONAS,Boca do Acre,2010,149755.40625,31221,1,7.4,38.892311143208,71.3,20.3,679,médio,baixa
4955,AMAZONAS,Borba,2010,119983.046875,32496,1,8.8,39.5222573638138,71.9,18.7,675,rural,muito baixa
5531,AMAZONAS,Caapiranga,2010,45974.66015625,11170,1,9.1,39.078521518401,71.8,18.9,676,rural,muito baixa
5014,AMAZONAS,Canutama,2010,49871.54296875,11948,1,7.1,38.2975808785526,71.8,18.9,680,rural,muito baixa
4957,AMAZONAS,Carauari,2010,120910.09375,26187,1,7.9,41.1353777839437,72.4,18.5,669,baixo,média
4950,AMAZONAS,Careiro,2010,117802.6171875,32638,1,8.8,40.7704276436064,73.5,18.9,677,rural,muito baixa
5557,AMAZONAS,Careiro da Várzea,2010,112120.0625,24704,1,7.9,38.7955328040862,71.6,19,680,rural,muito baixa
5504,AMAZONAS,Coari,2010,1103350.125,66991,2,7.2,41.7592124622562,72,19.4,675,médio,alta
5500,AMAZONAS,Codajás,2010,84273.59375,16291,1,9.1,41.7539147673687,71.8,19.2,668,rural,muito baixa
1006,AMAZONAS,Eirunepé,2010,123005.4375,30901,1,6.5,41.8256347326378,71.8,20,674,rural,muito baixa
1008,AMAZONAS,Envira,2010,69843.03125,17614,1,7.8,41.5887600916839,73.5,18.4,679,rural,muito baixa
5497,AMAZONAS,Fonte Boa,2010,115856.546875,18803,1,9.3,40.4152416686074,70.7,18.7,672,rural,muito baixa
588,AMAZONAS,Guajará,2010,63766.28515625,15031,1,8.2,39.6082814655889,72.6,20.3,681,rural,muito baixa
1004,AMAZONAS,Humaitá,2010,225637.4375,40735,1,7.1,38.3164389156129,73.1,19.9,671,baixo,média
733,AMAZONAS,Ipixuna,2010,85468.484375,18202,1,6.5,39.8834739187895,72.3,18.5,681,rural,muito baixa
1334,AMAZONAS,Iranduba,2010,188022.75,33884,1,9.4,40.1302709823917,72.3,20,675,médio,baixa
5529,AMAZONAS,Itacoatiara,2010,919967.375,89440,2,7.8,38.6820066466547,71.5,19.1,668,médio,alta
5013,AMAZONAS,Itamarati,2010,36895.9296875,8281,1,6.9,38.9294755255757,70.8,19.1,679,rural,muito baixa
5501,AMAZONAS,Itapiranga,2010,37870.4453125,9733,1,9.4,41.4235250131811,71.9,19,676,rural,muito baixa
5494,AMAZONAS,Japurá,2010,25534.7109375,4238,1,7.8,38.8830946110844,71.9,19.4,674,rural,muito baixa
5527,AMAZONAS,Juruá,2010,40090.02734375,9275,1,8.6,38.9959664093271,72.2,18.6,673,rural,muito baixa
5503,AMAZONAS,Jutaí,2010,68712,16791,1,6.5,42.0185028778311,73.5,18.7,675,rural,muito baixa
759,AMAZONAS,Lábrea,2010,394562.34375,39393,2,7.3,41.3595794353675,72.7,18.5,674,rural,muito baixa
1333,AMAZONAS,Manacapuru,2010,397942.40625,86472,1,9.2,41.0826736317727,71.8,19.4,671,baixo,alta
5563,AMAZONAS,Manaquiri,2010,82990.75,20836,1,7.1,38.5873667161992,71.4,18.5,675,rural,muito baixa
1572,AMAZONAS,Manaus,2010,40486108,1738641,3,7.6,41.5030560149066,72.5,19.1,670,muito alto,média
1203,AMAZONAS,Manicoré,2010,239006.1875,46773,1,8.2,40.392071513761,72.4,20.2,678,rural,muito baixa
5496,AMAZONAS,Maraã,2010,109074.7265625,18135,1,7.9,40.7432936672984,72.4,19.1,681,rural,muito baixa
999,AMAZONAS,Maués,2010,226922.828125,49666,1,7.7,41.6283338134176,73.1,19.9,672,baixo,média
995,AMAZONAS,Nhamundá,2010,86443.9765625,18474,1,9.3,39.7608962187253,72.7,18.9,669,rural,muito baixa
4951,AMAZONAS,Nova Olinda do Norte,2010,108783.34375,31012,1,6.5,38.6260605384495,72.4,19.2,676,rural,muito baixa
996,AMAZONAS,Novo Airão,2010,61709.34765625,15915,1,8.5,40.4693953015213,72.4,18.5,674,rural,muito baixa
1003,AMAZONAS,Novo Aripuanã,2010,85700.7265625,18952,1,9.5,39.1752694417069,73.4,18.4,668,rural,muito baixa
997,AMAZONAS,Parintins,2010,460521.75,107250,1,6.7,38.6472279223245,72.6,19.3,670,médio,alta
1007,AMAZONAS,Pauini,2010,69596.59375,19111,1,6.8,42.0285514953247,73.6,20.3,681,rural,muito baixa
994,AMAZONAS,Presidente Figueiredo,2010,304599.375,26282,2,9.1,41.8968402637403,71.1,19.3,673,rural,muito baixa
5498,AMAZONAS,Rio Preto da Eva,2010,216235.546875,26847,1,8.7,39.5478206373679,73.6,19.7,679,rural,muito baixa
5460,AMAZONAS,Santa Isabel do Rio Negro,2010,56945.6171875,18506,1,8.1,39.1121300476278,72.2,18.9,677,rural,muito baixa
5505,AMAZONAS,Santo Antônio do Içá,2010,94013,30351,1,9.5,41.8922855705245,71.1,18.5,679,rural,muito baixa
5417,AMAZONAS,São Gabriel da Cachoeira,2010,202045.265625,41885,1,9.4,39.5816923796401,70.8,19.4,674,médio,baixa
4949,AMAZONAS,São Paulo de Olivença,2010,109349.2890625,32958,1,7.1,40.0957084639706,73.3,19.9,672,baixo,média
5495,AMAZONAS,São Sebastião do Uatumã,2010,32970.34765625,9268,1,8.5,40.6400710771422,72.8,19.8,676,rural,muito baixa
5528,AMAZONAS,Silves,2010,66035.21875,8543,1,6.8,39.7470124429555,72.5,18.6,670,rural,muito baixa
4954,AMAZONAS,Tabatinga,2010,202660.984375,47948,1,6.6,38.9737119187801,70.8,19.5,677,baixo,média
4958,AMAZONAS,Tapauá,2010,87235.609375,19884,1,7.2,40.9074661225183,70.7,19.7,669,rural,muito baixa
5561,AMAZONAS,Tefé,2010,293563.5,64671,1,7,40.7700757047665,72,19.3,669,baixo,alta
5499,AMAZONAS,Tonantins,2010,67153.0078125,20286,1,8.9,38.8234969578606,73.4,18.7,668,rural,muito baixa
5502,AMAZONAS,Uarini,2010,60242.65625,10108,1,7.9,40.0518947489025,73.6,19.7,669,rural,muito baixa
993,AMAZONAS,Urucará,2010,69487.6171875,15780,1,7.9,38.2841467474196,72.8,19.4,670,rural,muito baixa
5506,AMAZONAS,Urucurituba,2010,67527.9609375,18541,1,6.7,41.1597591521531,73.4,18.7,667,rural,muito baixa
4139,BAHIA,Abaíra,2010,29147.60742188,8821,1,9.9,49.7335868977101,75,17.2,663,rural,muito baixa
4140,BAHIA,Abaré,2010,56625.83203125,18831,1,8.9,49.803084785786,72.9,17.3,656,rural,muito baixa
4004,BAHIA,Acajutiba,2010,61590.81640625,15192,1,10.5,49.7823979194139,73.8,16.9,658,rural,muito baixa
4005,BAHIA,Adustina,2010,78803,15448,1,7.6,50.500693766736,73.1,17.8,663,rural,muito baixa
4006,BAHIA,Água Fria,2010,66563.5390625,15328,1,8.7,48.8193969152431,73.4,17.4,655,rural,muito baixa
4008,BAHIA,Aiquara,2010,22533.35742188,5361,1,10.4,51.3443528533884,73.3,17,666,rural,muito baixa
4222,BAHIA,Alagoinhas,2010,1298216.375,137810,1,7.8,49.9785555809696,74.4,18.1,658,rural,muito baixa
4310,BAHIA,Alcobaça,2010,142096.75,20242,1,9.6,50.8460044543293,73.6,18.3,657,rural,muito baixa
3790,BAHIA,Almadina,2010,26828.51171875,6621,1,7.9,49.651653149161,74.3,18.6,654,rural,muito baixa
3856,BAHIA,Amargosa,2010,162852.53125,35278,1,7.8,48.7516604031463,74.9,17.7,663,rural,muito baixa
3920,BAHIA,Amélia Rodrigues,2010,120464.75,24491,1,8.5,47.8771432261735,73.2,17.2,657,rural,muito baixa
4122,BAHIA,América Dourada,2010,65303.5859375,16787,1,9.3,51.1990778657952,74.2,18.1,665,rural,muito baixa
4177,BAHIA,Anagé,2010,74545.8046875,25262,1,9.4,50.9191997982013,75,18.3,654,rural,muito baixa
3921,BAHIA,Andaraí,2010,48729.01953125,14609,1,9.1,47.6897056833055,73.4,17.9,655,rural,muito baixa
3954,BAHIA,Andorinha,2010,71736.671875,14201,1,9.4,48.487497392189,75.1,17.8,654,rural,muito baixa
4835,BAHIA,Angical,2010,62100,15191,1,7.9,50.9341823979906,74.4,18.7,661,rural,muito baixa
4858,BAHIA,Anguera,2010,26372.31835938,9826,1,10.3,48.3768861088686,73.9,17.5,661,rural,muito baixa
4406,BAHIA,Antas,2010,54676.39453125,17583,1,8,49.374372487924,74.7,18.4,656,rural,muito baixa
4407,BAHIA,Antônio Cardoso,2010,52209.5390625,12589,1,9.5,48.4151859114462,72.2,17.4,657,rural,muito baixa
4408,BAHIA,Antônio Gonçalves,2010,33189.3984375,11240,1,8.5,49.5743145428601,73.4,17,660,rural,muito baixa
4409,BAHIA,Aporá,2010,55787.8046875,18738,1,7.8,51.4293834335795,72.6,16.7,655,rural,muito baixa
4410,BAHIA,Apuarema,2010,32103.33984375,7610,1,9.6,51.5535416294966,75,18,658,rural,muito baixa
