,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,classe,desemprego
29,3595,PERNAMBUCO,Alagoinha,2010,57886.21484375,14913,3881.59008789,Produto Interno Bruto per capita,1,7.7
30,1146,PIAUÍ,Inhuma,2010,62012.0234375,15490,4003.36010742,Produto Interno Bruto per capita,1,6.8
31,1654,MARANHÃO,Joselândia,2010,60842.48046875,16188,3758.48999023,Produto Interno Bruto per capita,1,7
32,1999,RIO DE JANEIRO,Itaguaí,2010,3008327.25,105633,28479.05078125,Produto Interno Bruto per capita,3,7.8
33,3202,MINAS GERAIS,Cedro do Abaeté,2010,10221.85644531,1221,8371.70996094,Produto Interno Bruto per capita,1,6.4
34,444,RIO GRANDE DO SUL,Cacequi,2010,174171.703125,13578,12827.49023438,Produto Interno Bruto per capita,2,5.5
35,3644,PERNAMBUCO,Barra de Guabiraba,2010,46595.87109375,13623,3420.37988281,Produto Interno Bruto per capita,1,9.5
36,4475,BAHIA,Ibirapuã,2010,74997.40625,7893,9501.75976562,Produto Interno Bruto per capita,1,8.7
37,2251,PARAÍBA,Bernardino Batista,2010,11964.66210938,3315,3609.25,Produto Interno Bruto per capita,1,8.3
38,2160,PARAÍBA,Lagoa,2010,19203.7109375,4949,3880.32006836,Produto Interno Bruto per capita,1,10.1
39,3988,MATO GROSSO,Novo Horizonte do Norte,2010,32778.5078125,3970,8256.54980469,Produto Interno Bruto per capita,1,7.9
40,2595,MINAS GERAIS,Nova Lima,2010,2120726.75,76608,27682.83984375,Produto Interno Bruto per capita,3,7
41,2389,PARÁ,Tomé-Açu,2010,226379.46875,48607,4657.33984375,Produto Interno Bruto per capita,1,6.7
42,4459,BAHIA,Governador Mangabeira,2010,92903.8203125,20668,4495.06005859,Produto Interno Bruto per capita,1,8.8
43,5018,PIAUÍ,Aroeiras do Itaim,2010,8614.79785156,2759,3122.42993164,Produto Interno Bruto per capita,1,6.6
44,1188,GOIÁS,Perolândia,2010,145665.390625,2830,51471.87109375,Produto Interno Bruto per capita,3,4.1
45,2425,PARAÍBA,Pocinhos,2010,68767.046875,16538,4158.12011719,Produto Interno Bruto per capita,1,7.9
46,4478,BAHIA,Ibititá,2010,62366.88671875,19410,3213.12988281,Produto Interno Bruto per capita,1,9.3
47,5403,TOCANTINS,Aliança do Tocantins,2010,44565.703125,5822,7654.70996094,Produto Interno Bruto per capita,1,
48,3521,MINAS GERAIS,Igarapé,2010,277495.78125,33773,8216.5,Produto Interno Bruto per capita,1,6.8
49,1108,TOCANTINS,Lagoa da Confusão,2010,263527.4375,8711,30252.25976562,Produto Interno Bruto per capita,3,5
50,2429,PARAÍBA,Puxinanã,2010,59902.4921875,13354,4485.72998047,Produto Interno Bruto per capita,1,9.9
51,5045,SÃO PAULO,Guarujá,2010,3429098.5,308058,11131.33984375,Produto Interno Bruto per capita,2,8.1
52,168,RIO GRANDE DO SUL,Engenho Velho,2010,24098.88671875,1467,16427.33007812,Produto Interno Bruto per capita,2,5
53,3794,PARANÁ,Rio Bom,2010,29087.8984375,3292,8835.9296875,Produto Interno Bruto per capita,1,5.1
54,153,BAHIA,Sátiro Dias,2010,75908.4609375,18919,4012.29003906,Produto Interno Bruto per capita,1,10.3
55,5372,SANTA CATARINA,José Boiteux,2010,50867.8984375,5054,10064.87988281,Produto Interno Bruto per capita,2,7
56,2225,PARÁ,Cachoeira do Arari,2010,62800.12890625,20411,3076.7800293,Produto Interno Bruto per capita,1,8.2
57,4490,BAHIA,Irajuba,2010,29224.98828125,7666,3812.29003906,Produto Interno Bruto per capita,1,9.4
58,3466,PERNAMBUCO,Palmares,2010,387086.59375,58819,6580.97998047,Produto Interno Bruto per capita,1,8.1
59,1243,SERGIPE,Brejo Grande,2010,39924.37890625,8086,4937.47021484,Produto Interno Bruto per capita,1,7.9
60,2966,PARANÁ,Altamira do Paraná,2010,37563.4296875,3799,9887.71972656,Produto Interno Bruto per capita,2,5.2
61,2325,MATO GROSSO,Nova Santa Helena,2010,49004,3473,14109.99023438,Produto Interno Bruto per capita,2,7.6
62,2418,PARAÍBA,São Sebastião do Umbuzeiro,2010,15186.453125,3170,4790.68017578,Produto Interno Bruto per capita,1,8.6
63,4076,MATO GROSSO,Nova Guarita,2010,45700.81640625,4907,9313.38964844,Produto Interno Bruto per capita,1,6.2
64,2520,MARANHÃO,Serrano do Maranhão,2010,40995.56640625,11085,3698.29003906,Produto Interno Bruto per capita,1,7.2
65,4728,SÃO PAULO,Pedrinhas Paulista,2010,75881.6875,2927,25924.73046875,Produto Interno Bruto per capita,3,7.9
66,1253,GOIÁS,Santa Rita do Novo Destino,2010,29350.61328125,3576,8207.66992188,Produto Interno Bruto per capita,1,5.9
67,2351,PARAÍBA,Cabedelo,2010,2332828.25,51865,44978.8515625,Produto Interno Bruto per capita,3,9.4
68,3703,PERNAMBUCO,Cabrobó,2010,188859.3125,30432,6205.95019531,Produto Interno Bruto per capita,1,9.5
69,814,ALAGOAS,Dois Riachos,2010,35078.25390625,11200,3131.98999023,Produto Interno Bruto per capita,1,9.5
70,1398,MATO GROSSO DO SUL,Corumbá,2010,2715506.75,99467,27300.58007812,Produto Interno Bruto per capita,3,5.6
71,2948,MINAS GERAIS,Santa Maria do Suaçuí,2010,71374.390625,14931,4780.27978516,Produto Interno Bruto per capita,1,6
72,4029,MATO GROSSO,Tapurah,2010,321427.21875,11517,27908.93945312,Produto Interno Bruto per capita,3,8.2
73,2218,PARÁ,Bragança,2010,382807.5625,107060,3575.63989258,Produto Interno Bruto per capita,1,8.2
74,1936,RIO DE JANEIRO,Três Rios,2010,1304643.375,76075,17149.43945312,Produto Interno Bruto per capita,2,7.1
75,801,ALAGOAS,Belém,2010,19550.015625,5083,3846.15991211,Produto Interno Bruto per capita,1,9.1
76,1399,CEARÁ,Abaiara,2010,33615.54296875,11077,3034.7199707,Produto Interno Bruto per capita,1,4.6
77,4517,BAHIA,Itaquara,2010,33105.69921875,7743,4275.56982422,Produto Interno Bruto per capita,1,8.7
78,1751,MARANHÃO,Santa Luzia,2010,243949.921875,71455,3414.04003906,Produto Interno Bruto per capita,1,7.7
79,2345,PARAÍBA,Patos,2010,615180.875,100732,6107.10009766,Produto Interno Bruto per capita,1,9.5
80,4850,SÃO PAULO,São Luís do Paraitinga,2010,82827.171875,10908,7593.25,Produto Interno Bruto per capita,1,8.1
81,5269,SANTA CATARINA,Cordilheira Alta,2010,128883.09375,3531,36500.44921875,Produto Interno Bruto per capita,3,8.1
82,3198,MINAS GERAIS,Catas Altas da Noruega,2010,14633.55566406,3573,4095.59008789,Produto Interno Bruto per capita,1,5.4
83,739,ACRE,Marechal Thaumaturgo,2010,389317152,14275,7648.47021484,Produto Interno Bruto per capita,1,3.8
84,2460,PARAÍBA,Riachão do Bacamarte,2010,17855.66796875,4319,4134.20996094,Produto Interno Bruto per capita,1,9.7
85,2518,MARANHÃO,Senador Alexandre Costa,2010,31518.8046875,9414,3348.08007812,Produto Interno Bruto per capita,1,5.8
86,2494,MARANHÃO,São Raimundo do Doca Bezerra,2010,19792.5078125,4372,4527.10986328,Produto Interno Bruto per capita,1,7.3
87,3957,PARANÁ,Diamante do Norte,2010,39603.3515625,5668,6987.18017578,Produto Interno Bruto per capita,1,3.9
88,2221,PARÁ,Breu Branco,2010,282525.6875,52200,5412.37011719,Produto Interno Bruto per capita,1,6.5
89,3599,PERNAMBUCO,Angelim,2010,41266.19140625,10385,3973.62988281,Produto Interno Bruto per capita,1,7.8
90,508,RIO GRANDE DO SUL,Arvorezinha,2010,120895.8828125,10548,11461.5,Produto Interno Bruto per capita,2,5.1
91,1739,MARANHÃO,Presidente Médici,2010,26121.25585938,6363,4105.18017578,Produto Interno Bruto per capita,1,
92,542,RIO GRANDE DO SUL,Palmeira das Missões,2010,597852.75,34225,17468.30078125,Produto Interno Bruto per capita,2,3.3
93,4283,SÃO PAULO,Divinolândia,2010,158577.421875,11343,13980.20019531,Produto Interno Bruto per capita,2,5.8
94,4334,BAHIA,Cansanção,2010,112228.7734375,34093,3291.84008789,Produto Interno Bruto per capita,1,9
95,1237,SERGIPE,Tomar do Geru,2010,62506.4609375,13717,4556.85986328,Produto Interno Bruto per capita,1,7.6
96,3865,PARANÁ,Santa Lúcia,2010,34974.37109375,3743,9343.94042969,Produto Interno Bruto per capita,1,3.8
97,1764,RIO GRANDE DO NORTE,Rafael Godeiro,2010,14798.20410156,3251,4551.89013672,Produto Interno Bruto per capita,1,9.3
98,1859,CEARÁ,Novo Oriente,2010,93621.4453125,28703,3261.72998047,Produto Interno Bruto per capita,1,5.2
99,2464,PARAÍBA,Alcantil,2010,22410.37304688,5232,4283.33007812,Produto Interno Bruto per capita,1,9.7
100,5395,SANTA CATARINA,Meleiro,2010,158156.390625,7063,22392.24023438,Produto Interno Bruto per capita,3,5.8
101,4023,MATO GROSSO,Sapezal,2010,1418892.125,15735,90174.2734375,Produto Interno Bruto per capita,4,6.6
102,2803,MINAS GERAIS,Pouso Alto,2010,80420.0546875,6494,12383.75,Produto Interno Bruto per capita,2,4.7
103,1090,PIAUÍ,Dom Inocêncio,2010,25457.23046875,10795,2358.23999023,Produto Interno Bruto per capita,1,6.8
104,1286,SERGIPE,Santana do São Francisco,2010,30641.17382812,6861,4465.99023438,Produto Interno Bruto per capita,1,8.1
105,3011,MINAS GERAIS,Campanha,2010,145911.328125,15949,9148.62011719,Produto Interno Bruto per capita,1,5.8
106,2611,MINAS GERAIS,Orizânia,2010,32101.34765625,7078,4535.37011719,Produto Interno Bruto per capita,1,5.5
107,4932,SANTA CATARINA,São José do Cerrito,2010,78940.25,10624,7430.37011719,Produto Interno Bruto per capita,1,5.9
108,5493,PIAUÍ,Prata do Piauí,2010,10738.21386719,3260,3293.92993164,Produto Interno Bruto per capita,1,5.7
109,2054,MARANHÃO,Amarante do Maranhão,2010,131346.625,37388,3513.07006836,Produto Interno Bruto per capita,1,5.5
110,4511,BAHIA,Itaparica,2010,102586.6484375,20796,4933,Produto Interno Bruto per capita,1,9.9
111,4202,SÃO PAULO,Araraquara,2010,4193535.25,200666,20898.08984375,Produto Interno Bruto per capita,2,6
112,924,SERGIPE,Indiaroba,2010,86033.2578125,18126,4746.39990234,Produto Interno Bruto per capita,1,9
113,1825,RIO GRANDE DO NORTE,Taipu,2010,68109.515625,12165,5598.81005859,Produto Interno Bruto per capita,1,10.2
114,80,BAHIA,Nova Redenção,2010,28909.56835938,9318,3102.55004883,Produto Interno Bruto per capita,1,8.4
115,2208,PARÁ,Aveiro,2010,54393.734375,20266,2683.98999023,Produto Interno Bruto per capita,1,7.9
116,1051,PIAUÍ,Alegrete do Piauí,2010,21006.09179688,4595,4571.50976562,Produto Interno Bruto per capita,1,7
117,499,RIO GRANDE DO SUL,Monte Belo do Sul,2010,58234.10546875,2826,20606.55078125,Produto Interno Bruto per capita,2,5.5
118,4142,PARANÁ,Nova Aurora,2010,189617.90625,11636,16295.79980469,Produto Interno Bruto per capita,2,4.9
119,3606,PERNAMBUCO,Santa Maria do Cambucá,2010,48165.3125,12942,3721.62988281,Produto Interno Bruto per capita,1,8.5
120,5453,SANTA CATARINA,Peritiba,2010,46664.69921875,2977,15675.08007812,Produto Interno Bruto per capita,2,7.2
121,2991,MINAS GERAIS,Brasópolis,2010,105255.1484375,14756,7133.04003906,Produto Interno Bruto per capita,1,6.7
122,5030,PIAUÍ,Lagoa Alegre,2010,24826.51953125,8210,3023.93994141,Produto Interno Bruto per capita,1,4.7
123,5197,PIAUÍ,Curimatá,2010,40100.8359375,10765,3725.11010742,Produto Interno Bruto per capita,1,6.8
124,2245,PARAÍBA,Barra de Santana,2010,34139.8046875,8909,3832.06005859,Produto Interno Bruto per capita,1,8.9
125,3676,MINAS GERAIS,Leme do Prado,2010,22865.88476562,5145,4444.29003906,Produto Interno Bruto per capita,1,6.6
126,2563,PARAÍBA,Alagoa Nova,2010,123786.2734375,19799,6252.14990234,Produto Interno Bruto per capita,1,9.6
127,312,RIO GRANDE DO SUL,São Jerônimo,2010,281260.28125,21289,13211.53027344,Produto Interno Bruto per capita,2,5.1
128,2839,MINAS GERAIS,Rio Vermelho,2010,62241.30078125,15343,4056.65991211,Produto Interno Bruto per capita,1,6.7
129,5051,SÃO PAULO,Itapevi,2010,3638207.25,205881,17671.41015625,Produto Interno Bruto per capita,2,8.1
130,4468,BAHIA,Ibicuí,2010,69475.15625,16464,4219.81982422,Produto Interno Bruto per capita,1,8.1
131,2883,PARANÁ,Rancho Alegre,2010,33275.3046875,4083,8149.72021484,Produto Interno Bruto per capita,1,5.6
132,624,RIO GRANDE DO SUL,Erval Grande,2010,53334.69921875,5367,9937.53027344,Produto Interno Bruto per capita,2,5.2
133,4082,MATO GROSSO,Planalto da Serra,2010,33849.7578125,2797,12102.16992188,Produto Interno Bruto per capita,2,7.8
134,274,BAHIA,Santa Rita de Cássia,2010,91663,27528,3329.81005859,Produto Interno Bruto per capita,1,9.5
135,3526,MINAS GERAIS,Imbé de Minas,2010,38283.34375,6641,5764.70019531,Produto Interno Bruto per capita,1,
136,815,GOIÁS,Novo Gama,2010,352584.96875,88835,3968.98999023,Produto Interno Bruto per capita,1,4.6
137,5566,PIAUÍ,Passagem Franca do Piauí,2010,14411.97558594,4246,3394.25,Produto Interno Bruto per capita,1,5.1
138,155,RIO GRANDE DO SUL,Chuí,2010,140923.671875,5496,25641.13085938,Produto Interno Bruto per capita,3,4.6
139,1431,CEARÁ,Ibaretama,2010,42010.30078125,13206,3181.14990234,Produto Interno Bruto per capita,1,4.9
140,4217,SÃO PAULO,Bastos,2010,322317.3125,21380,15075.65039062,Produto Interno Bruto per capita,2,7.4
141,4344,SÃO PAULO,Três Fronteiras,2010,49727.08984375,5163,9631.4296875,Produto Interno Bruto per capita,1,6.8
142,921,GOIÁS,Britânia,2010,48315.8125,5190,9309.41015625,Produto Interno Bruto per capita,1,5.5
143,3374,MINAS GERAIS,Douradoquara,2010,1167951456,1924,12027.98046875,Produto Interno Bruto per capita,2,6.5
144,3895,PARANÁ,Piraí do Sul,2010,293748.59375,24374,12051.71972656,Produto Interno Bruto per capita,2,5.2
145,4187,SÃO PAULO,Américo Brasiliense,2010,578886.875,33255,17407.50976562,Produto Interno Bruto per capita,2,5.9
146,69,BAHIA,Nordestina,2010,35456.31640625,12670,2798.44995117,Produto Interno Bruto per capita,1,9
147,2746,PARANÁ,São Manoel do Paraná,2010,18855.14453125,2170,8689.00976562,Produto Interno Bruto per capita,1,3.8
148,5521,SANTA CATARINA,Santa Cecília,2010,201708.875,15928,12663.79003906,Produto Interno Bruto per capita,2,7.2
149,2477,PARAÍBA,Serra Grande,2010,12504.2421875,3147,3973.37988281,Produto Interno Bruto per capita,1,9.1
150,5564,PIAUÍ,Alagoinha do Piauí,2010,27277.73046875,7736,3526.08007812,Produto Interno Bruto per capita,1,4.6
151,4928,SANTA CATARINA,São João do Sul,“2010,84870.84375,7174,11830.33984375,Produto Interno Bruto per capita,2,7
152,1375,MATO GROSSO DO SUL,Anastácio,2010,202939.390625,23047,8805.45996094,Produto Interno Bruto per capita,1,5.4
153,1671,RIO GRANDE DO NORTE,Pedra Preta,2010,12639.96777344,2718,4650.47021484,Produto Interno Bruto per capita,1,10.7
154,2038,MARANHÃO,Alto Alegre do Maranhão,2010,70238.390625,22914,3065.30004883,Produto Interno Bruto per capita,1,6.6
155,1144,SERGIPE,Poço Redondo,2010,138586.828125,30249,4581.52978516,Produto Interno Bruto per capita,1,7.8
156,8,SÃO PAULO,Sertãozinho,2010,4155643.5,110999,37438.5703125,Produto Interno Bruto per capita,3,7
157,2462,PARAÍBA,Riacho de Santo Antônio,2010,9611.00976562,1588,6052.27001953,Produto Interno Bruto per capita,1,9.1
158,2381,PARAÍBA,São José da Lagoa Tapada,2010,29955.484375,8067,3713.34008789,Produto Interno Bruto per capita,1,8.8
159,4395,BAHIA,Coronel João Sá,2010,76828.921875,18408,4173.66992188,Produto Interno Bruto per capita,1,8.5
160,520,RIO GRANDE DO SUL,Sarandi,2010,389289.53125,21828,17834.41015625,Produto Interno Bruto per capita,2,3.8
161,1627,MARANHÃO,Governador Luiz Rocha,2010,23451.05078125,7144,3282.62011719,Produto Interno Bruto per capita,1,6.4
162,2716,MINAS GERAIS,Piranguçu,2010,34538.80859375,5319,6493.47998047,Produto Interno Bruto per capita,1,5.5
163,108,BAHIA,Pedro Alexandre,2010,58842.01171875,17698,3324.7800293,Produto Interno Bruto per capita,1,9
164,1775,MARANHÃO,Morros,2010,48157.7734375,17916,2687.97998047,Produto Interno Bruto per capita,1,5.9
165,131,RIO GRANDE DO SUL,Casca,2010,201810.28125,8654,23319.88085938,Produto Interno Bruto per capita,3,5.6
166,5116,PARANÁ,São Mateus do Sul,2010,552378.875,41188,13411.16015625,Produto Interno Bruto per capita,2,3.6
167,1797,RIO DE JANEIRO,Varre-Sai,2010,88212.8359375,8852,9965.29980469,Produto Interno Bruto per capita,2,9.4
168,4795,SÃO PAULO,Sabino,2010,71262.4765625,5420,13148.05957031,Produto Interno Bruto per capita,2,7.3
169,4255,SÃO PAULO,Caraguatatuba,2010,1147377.5,96125,11936.30957031,Produto Interno Bruto per capita,2,6.5
170,161,BAHIA,Prado,2010,285453.96875,26016,10972.25,Produto Interno Bruto per capita,2,9.9
171,5483,SANTA CATARINA,Rio das Antas,2010,86345.3984375,6237,13844.05957031,Produto Interno Bruto per capita,2,6.6
172,2447,PARAÍBA,Cruz do Espírito Santo,2010,71412.4453125,15854,4504.37988281,Produto Interno Bruto per capita,1,7.8
173,467,RIO GRANDE DO SUL,Protásio Alves,2010,30150.00390625,2188,13779.70996094,Produto Interno Bruto per capita,2,3.3
174,4464,BAHIA,Iaçu,2010,109799.9453125,28602,3838.88989258,Produto Interno Bruto per capita,1,9
175,4915,SERGIPE,Areia Branca,2010,86116.2890625,16733,5146.49023438,Produto Interno Bruto per capita,1,8.4
176,3919,RONDÔNIA,Itapuã do Oeste,2010,84785.7265625,8235,10295.78027344,Produto Interno Bruto per capita,2,2.1
177,3143,MINAS GERAIS,São João Evangelista,2010,81616.9921875,16254,5021.35009766,Produto Interno Bruto per capita,1,5.4
178,834,PIAUÍ,Cocal,2010,79448.5,27220,,Produto Interno Bruto per capita,1,6.4
179,2672,PARANÁ,São Tomé,2010,89769.359375,5522,16256.6796875,Produto Interno Bruto per capita,2,
180,3265,PERNAMBUCO,Lagoa do Ouro,2010,48624.8359375,12244,3971.32006836,Produto Interno Bruto per capita,1,8.3
181,677,RIO GRANDE DO SUL,Cacique Doble,2010,52123.5,5008,10408.04980469,Produto Interno Bruto per capita,2,5.1
182,221,RIO GRANDE DO SUL,Porto Xavier,2010,142891.265625,11131,12837.24023438,Produto Interno Bruto per capita,2,4.1
183,3424,MINAS GERAIS,Ewbank da Câmara,2010,19510.05859375,3676,5307.41992188,Produto Interno Bruto per capita,1,5.1
184,1526,RORAIMA,Pacaraima,2010,93442.5703125,9220,10134.76953125,Produto Interno Bruto per capita,2,8.7
185,3393,MINAS GERAIS,Viçosa,2010,599764.125,74171,8086.22998047,Produto Interno Bruto per capita,1,5.6
186,1424,MATO GROSSO DO SUL,Sonora,2010,258011.5625,13334,19349.90039062,Produto Interno Bruto per capita,2,3.6
187,449,RIO GRANDE DO SUL,Jari,2010,88814.828125,3802,23360.02929688,Produto Interno Bruto per capita,3,4.3
188,3066,PERNAMBUCO,Joaquim Nabuco,2010,96163.34375,16498,5828.79003906,Produto Interno Bruto per capita,1,8
189,3331,MINAS GERAIS,Ubaporanga,2010,69659.015625,12561,5545.66015625,Produto Interno Bruto per capita,1,6.5
190,2760,PARANÁ,Tupãssi,2010,137302.3125,7947,17277.25,Produto Interno Bruto per capita,2,3.6
191,4837,SÃO PAULO,Santo Expedito,2010,27413.52148438,2956,9273.86035156,Produto Interno Bruto per capita,1,6.1
192,631,RIO GRANDE DO SUL,Caiçara,2010,60827.06640625,5240,11608.21972656,Produto Interno Bruto per capita,2,3.7
193,1586,MARANHÃO,Capinzal do Norte,2010,44285.91796875,10688,4143.52001953,Produto Interno Bruto per capita,1,6.2
194,1788,RIO GRANDE DO NORTE,Caiçara do Norte,2010,31648.85742188,6652,4757.79980469,Produto Interno Bruto per capita,1,10
195,4724,SÃO PAULO,Paulo de Faria,2010,121381.28125,9463,12826.9296875,Produto Interno Bruto per capita,2,7.1
196,3874,PARANÁ,Ampére,2010,193306.609375,18041,10714.84960938,Produto Interno Bruto per capita,2,5.1
197,856,PIAUÍ,Paes Landim,2010,14581.94140625,4562,3196.38989258,Produto Interno Bruto per capita,1,5.1
198,3016,MINAS GERAIS,Campo do Meio,2010,83806.1875,11871,7059.74023438,Produto Interno Bruto per capita,1,7
199,3188,PARANÁ,Anahy,2010,33611.8046875,2926,11487.29003906,Produto Interno Bruto per capita,2,5.7
200,2024,ESPIRITO SANTO,Serra,2010,11531826,404688,28495.59960938,Produto Interno Bruto per capita,3,7.2
201,4845,SÃO PAULO,São João do Pau d'Alho,2010,36372.3046875,2191,16600.77929688,Produto Interno Bruto per capita,2,6.6
202,4722,SÃO PAULO,Paulicéia,2010,73761.8125,5791,12737.3203125,Produto Interno Bruto per capita,2,7.4
203,1728,RIO GRANDE DO NORTE,Viçosa,2010,8834.24511719,1856,4759.83007812,Produto Interno Bruto per capita,1,10.8
204,1868,RIO GRANDE DO NORTE,Fernando Pedroza,2010,12757.65820312,2994,4261.06982422,Produto Interno Bruto per capita,1,9.5
205,2802,MINAS GERAIS,Aricanduva,2010,23447.10742188,5140,4561.68994141,Produto Interno Bruto per capita,1,5.3
206,4413,BAHIA,Araci,2010,172730.890625,54713,3157.04003906,Produto Interno Bruto per capita,1,8.2
207,4343,SÃO PAULO,Tremembé,2010,393278.46875,41159,9555.09960938,Produto Interno Bruto per capita,1,7.1
208,583,TOCANTINS,Buriti do Tocantins,2010,39691.9453125,8454,4695.04980469,Produto Interno Bruto per capita,1,4.8
209,961,GOIÁS,Cezarina,2010,145802.765625,7832,18616.2890625,Produto Interno Bruto per capita,2,5
210,2025,MARANHÃO,Vitorino Freire,2010,122207.015625,31144,3923.92993164,Produto Interno Bruto per capita,1,7.7
211,3822,RONDÔNIA,Ariquemes,2010,1040960.75,85541,12169.13964844,Produto Interno Bruto per capita,2,4.1
212,2420,PARAÍBA,Seridó,2010,32620.47851562,10091,3232.62988281,Produto Interno Bruto per capita,1,9.8
213,3890,PARANÁ,Castro,2010,1097076.75,68071,16116.65039062,Produto Interno Bruto per capita,2,4.7
214,703,ALAGOAS,Santana do Mundaú,2010,52134.53515625,12039,4330.47021484,Produto Interno Bruto per capita,1,8.8
215,2473,PARAÍBA,Esperança,2010,221022.5625,30855,7163.27001953,Produto Interno Bruto per capita,1,9.4
216,2444,PARAÍBA,Poço de José de Moura,2010,17580.734375,4118,4269.24023438,Produto Interno Bruto per capita,1,8
217,1041,GOIÁS,Gouvelândia,2010,120889.484375,4790,25237.890625,Produto Interno Bruto per capita,3,4.8
218,676,RIO GRANDE DO SUL,Ibiraiaras,2010,136556.0625,7319,18657.75,Produto Interno Bruto per capita,2,4.2
219,1222,ESPIRITO SANTO,Pancas,2010,123706.6484375,18497,6687.93017578,Produto Interno Bruto per capita,1,8.4
220,1923,RIO DE JANEIRO,Cardoso Moreira,2010,203775.765625,12481,16326.87988281,Produto Interno Bruto per capita,2,8.4
221,3871,PARANÁ,São Pedro do Iguaçu,2010,84376.4140625,6561,12860.29980469,Produto Interno Bruto per capita,2,3.8
222,2136,PARAÍBA,Uiraúna,2010,65173.609375,14963,4355.64990234,Produto Interno Bruto per capita,1,10.1
223,718,ALAGOAS,Campo Alegre,2010,182361.03125,47209,3862.84008789,Produto Interno Bruto per capita,1,
224,5428,SANTA CATARINA,Morro da Fumaça,2010,370818,16128,22992.18945312,Produto Interno Bruto per capita,3,6.4
225,285,RIO GRANDE DO SUL,Westfalia,2010,67336.796875,2843,23685.11914062,Produto Interno Bruto per capita,3,4.4
226,3200,MINAS GERAIS,Catuti,2010,22031.84960938,5473,4025.55004883,Produto Interno Bruto per capita,1,5.5
227,1101,PIAUÍ,Cocal de Telha,2010,15476.57128906,4689,3300.61010742,Produto Interno Bruto per capita,1,5.7
