date,confirmed,deaths
2020-05-27,18910,696
2020-05-28,18721,1526
2020-05-29,21817,1175
2020-05-30,25337,1219
2020-05-31,23297,945
2020-06-01,19807,602
2020-06-02,21086,764
2020-06-03,20544,1034
2020-06-04,19699,994
2020-06-05,21140,1036
2020-06-06,25178,932
2020-06-07,22223,659
2020-06-08,22302,712
2020-06-09,18822,493
2020-06-10,18665,999
2020-06-11,20614,918
2020-06-12,22883,896
2020-06-13,25639,849
2020-06-14,25540,767
2020-06-15,19543,296
2020-06-16,19957,395
2020-06-17,23705,836
2020-06-18,25559,754
2020-06-19,27762,717
2020-06-20,29909,678
2020-06-21,34158,607
2020-06-22,25793,256
2020-06-23,31390,427
2020-06-24,34720,826
2020-06-25,34339,751
2020-06-26,40949,2437
2020-06-27,45527,623
2020-06-28,42486,500
2020-06-29,38673,265
2020-06-30,41556,336
2020-07-01,43880,1270
2020-07-02,52048,652
2020-07-03,53399,678
2020-07-04,54442,694
2020-07-05,45221,242
2020-07-06,49093,271
2020-07-07,49990,359
2020-07-08,57473,1174
2020-07-09,58906,829
2020-07-10,63004,982
2020-07-11,66625,806
2020-07-12,63051,717
2020-07-13,57258,391
2020-07-14,58114,400
2020-07-15,68518,861
2020-07-16,67717,953
2020-07-17,76930,939
2020-07-18,71494,908
2020-07-19,63749,853
2020-07-20,61796,415
2020-07-21,56750,372
2020-07-22,72048,1160
2020-07-23,68848,1124
2020-07-24,63196,1052
2020-07-25,78427,1304
2020-07-26,65498,914
2020-07-27,55993,475
2020-07-28,56243,1076
2020-07-29,61734,1245
2020-07-30,74985,1457
2020-07-31,68032,1357
2020-08-01,67023,1244
2020-08-02,58407,1133
2020-08-03,47511,413
2020-08-04,45607,543
2020-08-05,57525,1403
2020-08-06,52804,1450
2020-08-07,59755,1848
2020-08-08,58150,1252
2020-08-09,56221,1069
2020-08-10,46847,513
2020-08-11,49530,523
2020-08-12,46813,1076
2020-08-13,55941,1490
2020-08-14,51094,1083
2020-08-15,64838,1336
2020-08-16,48085,1035
2020-08-17,42104,571
2020-08-18,35056,445
2020-08-19,44091,1324
2020-08-20,47426,1356
2020-08-21,44005,1078
2020-08-22,49880,1151
2020-08-23,44378,956
2020-08-24,34506,444
2020-08-25,38298,473
2020-08-26,38119,1207
2020-08-27,42848,1228
2020-08-28,45909,1110
2020-08-29,49654,949
2020-08-30,44143,1006
2020-08-31,35581,290
2020-09-01,33850,529
2020-09-02,44639,1091
2020-09-03,38754,1055
