,confirmed,deaths,Holt,Holt-Winters,SARIMA,LSTM,Holt-Winters-14d
2020-08-15,64838.0,1336.0,1079.9676198466805,1228.3601200497437,1277.1561266066913,1306.6037368774414,
2020-08-16,48085.0,1035.0,1073.5238267269322,984.7816532808343,1073.3958474528204,1077.007700920105,
2020-08-17,42104.0,571.0,1067.1184814911826,475.1736365624495,700.7813665766132,812.5601062774658,
2020-08-18,35056.0,445.0,1060.751354734211,624.7959762675573,816.8325140841562,657.0916681289673,
2020-08-19,44091.0,1324.0,1054.4222184195776,1329.115720217233,1297.9274158723756,973.4899711608886,
2020-08-20,47426.0,1356.0,1048.1308458714577,1371.9064016347575,1371.0385711552055,1417.097080230713,
2020-08-21,44005.0,1078.0,1041.877011766523,1546.7993297638861,1451.4737095960804,1507.4078254699707,
2020-08-22,49880.0,1151.0,1035.6604921258713,1254.4540388776713,1270.4976186487984,1389.9339485168457,
2020-08-23,44378.0,956.0,1029.4810643070045,1005.6379689181465,1125.6602004622487,1258.9958515167236,
2020-08-24,34506.0,444.0,1023.3385069958565,485.20680255405335,739.356717303242,1086.1163940429688,
2020-08-25,38298.0,473.0,1017.2326001988644,637.9487047234124,834.0051826346332,913.383141517639,
2020-08-26,38119.0,1207.0,1011.1631252350913,1357.0113597410464,1279.5509806681696,968.8812475204467,
2020-08-27,42848.0,1228.0,1005.1298647283941,1400.6140628319033,1410.1367877716596,1454.1099166870117,
2020-08-28,45909.0,1110.0,999.1326025996372,1579.0702230729453,1431.8337805101235,1667.8085327148438,
2020-08-29,49654.0,949.0,993.1711240589549,1280.5479577055994,1298.0772198368313,1631.8610610961914,
2020-08-30,44143.0,1006.0,987.2452155980586,1026.4942845554588,1155.7757033399316,1544.5234680175781,
2020-08-31,35581.0,290.0,981.3546649825889,495.23996854565723,808.1443604880415,1381.4592018127441,
2020-09-01,33850.0,529.0,975.4992612445164,651.1014331792678,897.8050516126609,1168.466643333435,
2020-09-02,44639.0,1091.0,969.6787946745842,1384.9069992648597,1308.2876809927834,1046.887351989746,
2020-09-03,38754.0,1055.0,963.8930568147985,1429.321724029049,1416.1921386129754,1562.0652713775635,
2020-09-04,,,,,,,1042.1660906310906
2020-09-05,,,,,,,972.6616054107177
2020-09-06,,,,,,,839.3749928826629
2020-09-07,,,,,,,353.2618792511186
2020-09-08,,,,,,,453.63563755129024
2020-09-09,,,,,,,1024.6306227243062
2020-09-10,,,,,,,1065.105524862305
2020-09-11,,,,,,,991.0320865660588
2020-09-12,,,,,,,924.6009757307027
2020-09-13,,,,,,,797.6054069653306
2020-09-14,,,,,,,335.55674080191335
2020-09-15,,,,,,,430.7359060485294
2020-09-16,,,,,,,972.531091536707
2020-09-17,,,,,,,1010.5516885553154
